Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta AKR Gallery West,5,cabangnya bagus bersih,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,cs/teller rama dan menyenangkan .,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,teller dan cs nya sangat helpfull,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,terbaik,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"bank mandiri yang pelayanannya super memuaskan dan cepat , cabangnya nyaman, semua staff nya ramah",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"pelayanan cepat, cs nya juga ramah dan super helpfull",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"pelayanan ramah, cepat, dan nyaman",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,terimakasih mbak merli telah membantu saya dalam proses pemindahan livin dan penanganan kartu saya yang tertekan.,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,cepat,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanan bagus dan cs bya baik dan cantik,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"tempat nyaman, pelayanan ramah, cepat dan tuntas..terimakasih",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"cabang nya bagus dan nyaman, petugas bank nya ramah2",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,teller dan cs nya sangat baik,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,cabang nya nyaman banget,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanannya baik sekali,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"pelayanannya cepat, cs ramah",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,tempatnya nyaman dan yang paling penting pegawainya ramah ramah banget enggak judes,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,karyawan ini yang terbaik banget . bantu teka teki permasalah kartu atm saya yang kalo debit selalu 0 .. semoga dilancarkan dalam bekerja..,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"cabangnya bersih, tellernya ramah, cs nya solutif, securitynya baik dan jangan lupa bintangnya 5 ya",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"csnya ramah , pelayanannya baik semua staf super duper baik",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"tellernyaa baikk,ramahh, top pokoknya",2
Bank Mandiri KCP Jakarta AKR Gallery West,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,luar biasa.mantapp.,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,pelayanannya terbaik! cs dan tellernya ramah2 dan gercep.,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,frontlinernya sangat ramah dan helpful,2
Bank Mandiri KCP Jakarta AKR Gallery West,5,"pelayanan nya baik, terimakasih",2
