Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanan cepat. teller enggak antri..,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanan nya mantap sangat membantu sekali,memudahkan nasabah",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanannya cepat rekomen kalo misalkan lagi buru buru,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"transaksi di teller cepat tidak menunggu seperti cabang lain, pelayanannya ramah",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanannya cepat, mengantri di teller enggak menunggu lama, cs nya ramah",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanannya bagus , memuaskan, petugas petugasnya pun ramah ramah, teler atas nama mbak nabila dhanesya farani pun juga baik banget sabar dalam melayani customernya",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"adem nyaman fast respon, keren lah",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"tempat yang nyaman untuk transaksi perbankan anda, tempatnya bersih, strategis ditepi jalan raya, bahkan mudah diakses dengan busway",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,nyaman.bersih.ramah sekali,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"mandiri selalu menjadi mitra terpercaya ,,semoga bisa mempertahankan lebih baik lagi pelayanan",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanan nya ok, dari security sampai ke pelayanan nya bagus dan ramah ramah..",2
Bank Mandiri KCP Jakarta Ahmad Yani,2,antri cs lama sekali. yang antri hanya 2 tetapi bisa menunggu sampai hampir 1 jam,0
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanan baik dan tidak dipersulit,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanan sat set sekali mantap dan ramah juga cs nya bapak jaenal aripin,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,bagus banget pelayanannya okee,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,bagus sekali.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,terimakasih mandiri ahmad yani,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,tiada duanya bank mandiri jakarta ahmad yani pelayanannya cepat sat set dan ramah banget . selalu salam sapa dan diakhiri dengan doa :) sehat selalu ckqkqkq .. sehat-sehat juga team kcp ahmad yani keep itu up!,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanannya sangat baik, petugasnya ramah2help full senang berkunjung kecabang ini",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"teller, cs, & security nya baik dan cekatan.. ruangan nyaman dan bersih",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanan nya cepat tidak ribet cs nya ramah tellernya ramah begitu juga dengan security dan ruangannya bersih wangi serta nyaman,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanannya bank mandiri oke dan csnya juga baik baik dan teler sama securytynya juga ramah pelayannya,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"ruangan nya nyaman,pelayanan,teller,security dll nya the best pokok nya",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"tellernya ramah, baik krja cepat",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"sangat ramah satpamnya, tellernya cantik-cantik, cs pandai menjelaskan sehingga dapat dipahami dengan mudah.",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,baik rama santun sopan,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"pelayanannya baik, nyaman dan pastinya sangat aman.",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,"hanya hitungan menit, kartu atm kelar,. enggak kayak bank mandiri kcp kebon jati, banyak pertanyaan.. bertele tele.. bikin kesel.. capem ahmad yani is the best.",2
Bank Mandiri KCP Jakarta Ahmad Yani,5,pelayanan nya sangat baik,2
