Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Ambassador,5,"pelayananya ramah, dan puas sekali.",2
Bank Mandiri KCP Jakarta Ambassador,5,"pelayanan nya baik , ramah sangat cepat disini",2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Ambassador,5,playanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pembukaan rekening cepat dibantu,2
Bank Mandiri KCP Jakarta Ambassador,5,bagus,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pwlayanan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanam baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelaynm baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,"pembukaan rekening cepat, bisa langsung di bantu untuk terbit kartu. tks",2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanannya cepat buat ganti atm yang expired sama dibantu untuk login livin,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Ambassador,5,pelayan cepat,2
