Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,layanan cabangnya terbaik,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"pelayanan ok banget , satpam nyavramah2 , bersih , kantin oke",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"pelayanan bagus , bersih , nyaman",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"securitynya sangan baik, pelayanannya bagus",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,pelayanan dicabang sangat baik,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"pelayanan nya sangat baik, para staff nya dan security nya ramah, dan tempat nya juga nyaman",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,good,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat ramah,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,mantap pelayanan dan servis nya. security nya ramah dan sopan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"pelayanan nya memuaskan , pelayanan nya ramah.. sangat puas..",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,"pelayanan cepat, layanan nya bagus dan banking hall bersih-wangi",2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Aminta Plaza,5,pelayanan security nya terbaik dan ramah,2
