Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ampera Raya,1,enggak responsif dan sat set pelayanannya,0
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanan bagus dan tempat nya nyaman,2
Bank Mandiri KCP Jakarta Ampera Raya,5,terimakasih,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"pelayanannya ok bangets,cepatt, teller sangatt ramah syekalii pokoknya yang terbaik",2
Bank Mandiri KCP Jakarta Ampera Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat menyenangkan,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanannya the best tempat bersih nyaman,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,staf nya ramah dan pelayanan nya baik,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"pegawai bank nya ramah"" saya suka sekali di bank ini,tempat nya juga bersih,melayani saya dngn cepat pelan"" ngarahin yang saya enggak mengerti",2
Bank Mandiri KCP Jakarta Ampera Raya,5,"tempatnya nyaman dan wangi~ cs ramah dan sangat membantu saya, teller juga cepat menangani transaksi, security yang menjaga di depan cukup informatif saat saya masuk. yang saya suka, lokasinya mudah diakses dengan busway untuk pulang-pergi tepat di depan bank, dan dekat ke mana-mana. sangat direkomendasikan ke sini! terima kasih",2
Bank Mandiri KCP Jakarta Ampera Raya,5,staff baik dan ramah,2
Bank Mandiri KCP Jakarta Ampera Raya,5,teller dan cs baik,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"semuanya baik, pelayanannya oke. pasti dibantu. terima kasih",2
Bank Mandiri KCP Jakarta Ampera Raya,1,"katapa bapak2 yang penjaga pintu masuk, kalau sudah sungong langsung ke teller. langsung lihat teller yang melayani nasabah sebelum saya, itu tellnya udnyah kosong.",0
Bank Mandiri KCP Jakarta Ampera Raya,1,"hanya menyediakan satu cs disaat banyak nasabah mengantri, pelayanan lambat dan kurang koperatif khususnya saat ada foreigner.",0
Bank Mandiri KCP Jakarta Ampera Raya,5,bagus banget pelayanan cs nya ramah banget teller nya juga,2
Bank Mandiri KCP Jakarta Ampera Raya,5,ramah dan menyenangkan,2
Bank Mandiri KCP Jakarta Ampera Raya,5,terima kasih untuk staff bank mandiri ampera. terbaik semua,2
Bank Mandiri KCP Jakarta Ampera Raya,1,"mengurus bantuan gbpns guru harus menunggu 1 jam lebih, padahal biasanya 15 menit selesai.. konfirmasi antar bank mandiri saja sangat lama, sangat membuang"" waktu!",0
Bank Mandiri KCP Jakarta Ampera Raya,5,"pelayanan baik, teller dan cs sangat sopan dan membantu",2
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanan cepat dan pegawai nya ramah,2
Bank Mandiri KCP Jakarta Ampera Raya,5,cs dan teller nya ramah,2
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanan bagus cepat,2
Bank Mandiri KCP Jakarta Ampera Raya,5,terimakasih atas pelayanan yang ramah n cepat.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sepi lancar disini,2
Bank Mandiri KCP Jakarta Ampera Raya,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"pelayananya bagus,ramah.smg jadi lebih baik lg.",2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanan baik dan ramah sukses selalu,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"mantap pelayanan, petuga ramah",2
Bank Mandiri KCP Jakarta Ampera Raya,5,selalu ramah dan disambut di bank mandiri kc ampera raya.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,pelayanan nya sangat baik sekali teller ramah,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ampera Raya,5,"cepat pelayanan dan ramah,",2
Bank Mandiri KCP Jakarta Ampera Raya,1,"ke sini untuk ganti aplikasi livin ke hp lain, ternyata rumit ribet, mesti pakai kartu atm fisik nya, mesti pakai buku rekening, lantas gunanya livin mandiri di era digital itu apa? disaat bersama an saya juga mengurus beginian di bsi dan langsung aktif, dibantu abang sekurity. sistem pelayanan mandiri mngecewakan.",0
