Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ancol,5,buka rek untuk nabung cepat dan kary ramah,2
Bank Mandiri KCP Jakarta Ancol,5,pembuatan rekening cepat dan petugasnya oke,2
Bank Mandiri KCP Jakarta Ancol,5,pembuatan tabungan dibantu sekuriti ramah dan cepat,2
Bank Mandiri KCP Jakarta Ancol,5,anda memberikan layanan yang sangat baik,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas pelayanannya,2
Bank Mandiri KCP Jakarta Ancol,5,"pelayanannya cepat, mudah dan enggak ribet. thank you bu nurhayati atas pelayanannya",2
Bank Mandiri KCP Jakarta Ancol,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Ancol,5,rama ramah,2
Bank Mandiri KCP Jakarta Ancol,5,bersih dan ramah sekali cs tellernya,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,mantap,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Ancol,5,"pegawainya semua ramah-ramah, terutama bu nur hayati yang melayani saya dengan sangat ramah, terimakasih",2
Bank Mandiri KCP Jakarta Ancol,5,sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Ancol,1,"antri lama, dan banyak di salip sama nasabah lain",0
Bank Mandiri KCP Jakarta Ancol,5,good untuk semua pelayanannya,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Ancol,1,"pelayanan kurang baik, teller lama, tidak ramah",0
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,bagus,2
Bank Mandiri KCP Jakarta Ancol,5,baik pelayanan nya,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan internet banking cepat,2
Bank Mandiri KCP Jakarta Ancol,5,mantap,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Ancol,5,proses atm nya cepat.. tmksh,2
Bank Mandiri KCP Jakarta Ancol,5,terimakasih atas pelayanan nya untuk bank mandiri cabang ancol barat sangat cepat dan sangat ramah dengan customer nya,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan mantab,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Ancol,5,"pegawai ramah, dan bisa memberikan solusi buat nasabah",2
Bank Mandiri KCP Jakarta Ancol,5,transaksi cepat tidak antri,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Ancol,5,"terimakasih pak odi, susah membantu untuk perencanaan keuangan saya. sangat baik dan ramah.",2
Bank Mandiri KCP Jakarta Ancol,5,sangat luar biasa pelayananya,2
Bank Mandiri KCP Jakarta Ancol,5,"pelayanan di cabangnya yang super sekali ramahnya, terima kasih pak odi sudah membantu saya dalam pembukaan tabungan rencana mandiri nya",2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Ancol,5,"pelayanan oke,garcep,tempatnya rapi",2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan sangat baik.. cs dan teller sangat ramah,2
Bank Mandiri KCP Jakarta Ancol,5,pembukaan rekening cepat dan ramah,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,helpful,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,mantap,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan nya cepat dan nyaman,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Ancol,5,"pelayanan sangat bagus, ramah dan cepat.",2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol,5,terimakasih bank mandiri ancol pelayananya bagus sekali,2
Bank Mandiri KCP Jakarta Ancol,5,"pelayanan di cabangnya yang super ramah, terima kasih ibu nur, pak satpamnya yang sigap dan edukatif",2
Bank Mandiri KCP Jakarta Ancol,5,transaksi cepat,2
Bank Mandiri KCP Jakarta Ancol,5,ramah pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan sangat membantu. terima kasih,2
Bank Mandiri KCP Jakarta Ancol,5,sangat bagus adalah bes,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan bagus sesuai sop,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan ramah dan kondisi bank bersih,2
Bank Mandiri KCP Jakarta Ancol,5,terimakasih mbak cs pelayanan cepat sekali,2
Bank Mandiri KCP Jakarta Ancol,5,terimakasih untuk pelayanan terbaiknya,2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan nya bagus dan ramah,2
Bank Mandiri KCP Jakarta Ancol,5,"cepat transaksinya, rapi",2
Bank Mandiri KCP Jakarta Ancol,5,pelayanan yang ramah pagawi nya perduli akan keluhan nasabah. the best,2
Bank Mandiri KCP Jakarta Ancol,5,untuk cs mbak seprina pelayanan baik dan satpam anzar ramah,2
Bank Mandiri KCP Jakarta Ancol,5,terbaikt,2
Bank Mandiri KCP Jakarta Ancol,5,"uh sudah lama sekali enggak dapat pelayanan yang super ramah begitu hahaha terima kasih ibu nur, pak satpamnya sama mas2 teller yang pojok kiri sehat syelalu",2
