Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanannya baik dan sangat membantu dalam melakukan transaksi, terima kasih.",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanan nya bagus, mudah untuk transaksi",2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan fast respon dan komunikatif,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanannya okey bagus teller, cs, sekuriti juga pokoknya terbaik bank mandiri terimakasih bantuannya",2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan nya baik dan ramah2 petugasnya,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"fasilitasnya dan tempatnya bagus. untuk pelayanan juga ramah dan sigap, sama profesional pegawainya. mantap.",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"baguss, ada csmnyaa bisa buat buka blokir",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pokoknya bagus, ada mesin csmnyaa.. cakep",2
Bank Mandiri KCP Jakarta Ancol Timur,5,kantornya bersih dan pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanannya oke, cepat dan tepat sangat membantu, cabangnya juga nyaman, all bagus pokoknya",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"cabangnya nyaman, pelayanannya sangat membantu, terimakasih",2
Bank Mandiri KCP Jakarta Ancol Timur,5,penyayannya bagus dan ramah pas datang kemari unsuk transaksi.,2
Bank Mandiri KCP Jakarta Ancol Timur,5,kalo kesini selalu oke pelayanannya. untuk pegawai mandirinya juga ramah dan cekatan.,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanannya baik dan ramah, serta profesional. mantap pokoknya.",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"ganti kartu atm, cs nya ramah, sopan dan baik, tellernya supel dan sigap. pelayannya bagus bngt, security-nya ramah. puas banget pelayanan di cabang ini. tempatnya bersih, nyaman dan wangi. bikin betah.",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"security, cs dan teller smuanya baik dan ramah, sopan dan pintar. overall bagus. tingkatkan terus untuk kualitas bagusnya.",2
Bank Mandiri KCP Jakarta Ancol Timur,4,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanannya ramah, tanggap dan cepat diarahkan dengan baik. kantor cabangnya juga bersih, plus nyaman",2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Ancol Timur,5,csm bagus syman,2
Bank Mandiri KCP Jakarta Ancol Timur,5,csm bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,pegawai nya ramah semoga beruntung,2
Bank Mandiri KCP Jakarta Ancol Timur,1,"kapok pakai mandiri ,, kesini mau ambil uang ditabungan simakmur malah enggak di layanin ,, security saja enggak ada yang jaga semuanya di dalem ,, teller sama cs kerjanya cuma cekikik-an ketawa ada nasabah enggak di tanya sama sekali bahkan di jelasin saja enggak sama sekali ,, tolong di training buat karyawan karyawannya supaya punya etika.",0
Bank Mandiri KCP Jakarta Ancol Timur,5,bagus bossku,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"bagus, keamanan ganneng ramah sopan",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"baik, rama,",2
Bank Mandiri KCP Jakarta Ancol Timur,5,penggan kartu atm sangat mulah lewat cdm yang terdapat disini--,2
Bank Mandiri KCP Jakarta Ancol Timur,5,cepat,2
Bank Mandiri KCP Jakarta Ancol Timur,5,sangat puas sekali,2
Bank Mandiri KCP Jakarta Ancol Timur,5,mantap,2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Ancol Timur,5,baik bagus sempurna,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"cabang nya bagus bersih rapih, pelayanan cepat dan mudah",2
Bank Mandiri KCP Jakarta Ancol Timur,5,bagus nyaman 5s,2
Bank Mandiri KCP Jakarta Ancol Timur,5,bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,keamanan ganteng,2
Bank Mandiri KCP Jakarta Ancol Timur,5,mantap,2
Bank Mandiri KCP Jakarta Ancol Timur,5,bagus,2
Bank Mandiri KCP Jakarta Ancol Timur,5,mantap palayan,2
Bank Mandiri KCP Jakarta Ancol Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol Timur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"banking halnya bersih, rapi, cs-nya semua ramah. pelayanan ok",2
Bank Mandiri KCP Jakarta Ancol Timur,5,banknya rapi. bersih wangi,2
Bank Mandiri KCP Jakarta Ancol Timur,5,semia cs nya baik hati dan tidak sombong,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"teller ramah, transaksi cepat.. nyaman dan enggak banyak antrian",2
Bank Mandiri KCP Jakarta Ancol Timur,5,"cabangnya bersih, wangi, rapi. pegawainya ramah ramah dan helpfull",2
Bank Mandiri KCP Jakarta Ancol Timur,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Ancol Timur,5,"pelayanan ramah dan baik ,untuk pak securitya pelayanan nya baik dan mempermudah",2
