Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Angkasa,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Angkasa,4,hari ini mau ganti kartu 1 jl letjen suprapto ramai di sarankan boleh jl garuda 2 jl garuda enggak bisa karena kartu nya habis di sarankan ke angkasa,2
Bank Mandiri KCP Jakarta Angkasa,5,"securiy ramah,pelayanan baik",2
Bank Mandiri KCP Jakarta Angkasa,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Angkasa,5,"gedung nyaman, cs nya ramah",2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,kerren,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,bagus sekali,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,mandiri cabang terbaik good servic terimakasih satpam dan tellernya ramah,2
Bank Mandiri KCP Jakarta Angkasa,5,bersih bagus,2
Bank Mandiri KCP Jakarta Angkasa,5,"pelayanan yang baik dan maksimal, terima kasih atas pelayanannya pt bank mandiri cabang jakarta angkasa",2
Bank Mandiri KCP Jakarta Angkasa,5,mantap,2
Bank Mandiri KCP Jakarta Angkasa,5,terbaik dari yang terbaik,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan yang memuaskan terimakasih sudah banyak dibantu untuk bertransaksi,2
Bank Mandiri KCP Jakarta Angkasa,5,"pelayanan customer service nya bagus dan ramah, mereka bisa memberikan solusi untuk masalah saya",2
Bank Mandiri KCP Jakarta Angkasa,5,layanan sangat baik,2
Bank Mandiri KCP Jakarta Angkasa,5,customer service ramah dan solutif,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Angkasa,5,bagus,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,cabang yang sangat baik dengan keramahan yang sangat baik,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,top sih selama bertransaksi dengan bank mandiri jakarta angkasa. team front officenya ramah2. termasuk securitynya. selalu menyapa dan mengenal nama setiap nasabah lamanya. sangat komunikatif. cekatan dan informatif. pertahankan kinerjanya yang sudah bagus..,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,"cepat, ramah dan keren",2
Bank Mandiri KCP Jakarta Angkasa,5,pelayananya terbaik,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan baik ramah,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,semanagat cabang bersih,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,cs & teller sangat helpful dan ramah proses jadi cepat dan diberikan solusi. terimakasih,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,ramah & cepat pelayanannya,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan oke banget..,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,peleyanan terbaik..,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Angkasa,5,pelayanan baik dan ramah..woouuw,2
Bank Mandiri KCP Jakarta Angkasa,5,cs ramah pelayanan baik..,2
