Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"tempatnya nyaman, pelayanannya baik.",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,cs dan tellernya ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,cs dan security ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanannya bagus oke,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayananannya ok,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,terimakasih pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat ramah dan sopan semua,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,cs nya sangat membantu. terimakasih,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,tellernya ramah dan cepat dalam melayani nasabah. teller sangat ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,cs dan teller nya ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,puas pelayananan layanan pelanggan ramah yang sama teller yang,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,mbak zahara service bagus banget di bank mandi arteri pondok indah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan nya oke,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"sangat senang bertransaksi di mandiri arteri pondok indah, semua teller ramah dan baik",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan di bank mandiri arteri pondok indah sudah top, teller, satpam dan cs nya ramah, baik, dipertahankan ya",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,telernya sangat ramah baik hati dan tidak sombong,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan super cepat, petugas ramah pol, sangat membantu dan sangat responsif",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,teller sangat ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan sangat ramah dan bersahabat,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"semua staff nya sat set bangeet,, luar biasa transaksi disini best lah pelayanan nya",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanannya ramah dan tanggap akan kepentingan nasabah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,kakak kakaknya cantik-cantik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan nya oke,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"teller nya ramah,cantik juga, suka mengasih solusii kalo ada transaksi gagal",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan sangat bagus, petugasnya ramah",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan teller nya bagus, ramah, top deh buat mandiri arteri tapi untuk pelayanannya",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayananya bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"lantai 2 suasana menyenangkan,dgn teller-teller ramah,cantik,happy the best lah pokoknya",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,teller nya sangat fast respon dan sangat membantu.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"teler yang ramah dan baik hati, sangat membantu, melayani dengan rendah hati dan tidak sombong",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan nya baik dan ramah oke banget deh,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,tiap kesini selalu dilayani teller baik dan membantu. tks sukses selalu,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"terima kasih taller atas top, pelayanan ramah bagus, semua teller kakak semua",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan'a ramah, rendah hati, penjual'a cantik2, fast respon",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"teller nya baik"" banget dan ramah",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pokoknya pelayanan'y bagus serta tempatnya nyaman & semoga semakin suxses lu bsnk mandiri,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayananya bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,memuaskan,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,dinas baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,terbaik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan taller nya sangat baik, rekomen ke mandiri arteri pondok indah ya :))",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan terbaik, ramah dan cepat",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,terimakasih atas pelayanan nya,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan oke cs teller ramah,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan ok,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan cepat, ramah, dan banknya bersih",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"tempat nyaman, pelayanan ramah, parkir tersedia.",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan bagus, pegawai rama dan selalu membantu transaksi.",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,pelayanan nya garcep.. ruangannya bersih top markotop,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,fast respons,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,keren ramah pelayanan baik,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"teller dan cs nya sangat ramah sekali, selalu murah senyum. sangat membantu",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,kantor cabang disini sangat bersih petugasnya ramah2. terbaik semuanya,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"staff nya ramah, tempatnya bersih, nyaman, tidak antre terlalu panjang",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,bank nya bersih pelayanan cepat tidak harus antri panjang terimakasih bank mandiri arteri,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,"pelayanan terbaik , semua staff ramah. puas puas puas.. sangat membantu",2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,cabangnya dekat pelayanan nya nyaman,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Arteri Pondok Indah,5,sangat puas dengan pelayanan yang diberikan.,2
