Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta BKPM,5,semangat semuanya.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat cepat pelayanannya baik untuk tellernya.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,"layanan pelanggan besar, sangat membantu dan melebihi harapan saya. 5 bintang!",2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,mantap pelayan ramah,2
Bank Mandiri KCP Jakarta BKPM,5,ramai namun pelayanannya cepat jadi tetap nyaman,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BKPM,5,memuaskan,2
