Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"salah satu cabang bank mandiri terbaik yang pernah saya kunjungi. pelayanannya baik, seluruh team ramah dan sigap, juga tidak perlu bayar parkir.",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanan baik dan transaksi cepat,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan sangat baik serta tempatnya nyaman, penjelasan yang diberikan sangat mendetail mengenai produk perbankannya .",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,cs nya luculucu dan awet muda,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanannya baik dan tertib,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan di kantor cabang ini sangat baik, mulai dari satpam, cs dan teller sangat ramah dan baik dalam melayani nasabah",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanan cepat & ramah .,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,bersih ruangannya,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,mantap,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayananya memuaskan, dan sangat membantu",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan nya bagus, security nya ramah mohon di tingkatkan lagi.",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,baik sekali pelayanannya. good job,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan nya ramah, dan tempatnya bersih dan nyaman",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan baik, cepat mantap",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanan oke sih,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanannya ramah, dan cepat. karyawanya juga sangat membantu",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,bagus sekali,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanan baik,",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanannya sangat memuaskan,",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sekuritiya sangat sopan,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"pelayanannya bagus, cs nya ramah & memberikan penjelasan sangat baik",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanan nya sangat memuaskan,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanananya bagus,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,1,"saya baru percaya dengan bank mandiri tapi saya tertipu, kenapa bank sebesar mandiri memperkirakan seorang penipu, admin media sosial mandiri bagaimana dia tau sedang saya mengirim pesan dm langsung ke admin media sosial mandiri dan orang",0
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"bank mandirinya ada di dalam gedung bpjs . pelayanannya ramah , security sigap melayani customer yang datang . teller nya ramah dalam melayani customer yang setoran atau tarik tunai atau urusan",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,"nyaman tidak terlalu ramai, cs ramah",2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sering banget transaksi disini. mashaallah karyawan karyawannya baik super baik. ramah dalam melayani nasabah.. best service banget.. sukses bank mandiri cabang bpjs ketenagakerjaan,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,cs nya mbak zahra terbaik pelayanannya,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,mantap bagus wadidaw,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,semua pegawainya ramah dan cekatan,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta BPJS Ketenagakerjaan,5,pelayanan yang baik,2
