Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bandengan,5,pelelayan ramah banget baik!!,2
Bank Mandiri KCP Jakarta Bandengan,5,sangat membantu,2
Bank Mandiri KCP Jakarta Bandengan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanan cepat baik,2
Bank Mandiri KCP Jakarta Bandengan,5,"terima kasih untuk layanan terbaik, keamanan babak alfian sangat membantu.",2
Bank Mandiri KCP Jakarta Bandengan,5,"pelayan mandiri bandengan bagus sekali, serta securitnya bapak alfian sangat ramah dan membantu apa yang saya tanyakan.. terima kasih",2
Bank Mandiri KCP Jakarta Bandengan,5,terima kasih bapak alfian sebagai security mandiri yang sangat membantu saya. pelayanan mandiri dbest,2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanannya luar biasa. apalagi securitynya yang namanya pak alfian sangat membantu saya sekali saat kebingungan di bank mandiri.,2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Bandengan,5,ramah dan baik-baik,2
Bank Mandiri KCP Jakarta Bandengan,5,"pegawainya ramah-ramah, terimakasih",2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanannya sangatt ramah sekali,2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Bandengan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bandengan,5,"pelayanannya oke banget, pengarahannya jelas. satpam nya juga ramah, responsif dan bisa banget bantu buat buka rekening now. cs nya ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Bandengan,1,keamanan enggak ramah,0
Bank Mandiri KCP Jakarta Bandengan,5,cs nya baik sopan ramah,2
Bank Mandiri KCP Jakarta Bandengan,5,"pelayanannya luar biasa, staffnya ramah dan baik, terimakasih",2
Bank Mandiri KCP Jakarta Bandengan,5,"pelayanan nya memuaskan, top lah",2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanan nya baik sekali,2
Bank Mandiri KCP Jakarta Bandengan,5,pelayanan mas yahya luar biasa ramah sekali bintang 7 mantap,2
Bank Mandiri KCP Jakarta Bandengan,5,trimakasih pak atas pelayanannya yelah membantu mengaktifkan kembali livin mandiriku.,2
Bank Mandiri KCP Jakarta Bandengan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bandengan,5,"cabang baru renovasi, serasa lebih luas dan makin nyaman serta staff nya ramah",2
Bank Mandiri KCP Jakarta Bandengan,5,"ini best cabang yang pernah aku temui, semua pegawai nya ramah dan welcome sekali juga selalu membantu setiap masalah dan keluh kesah nasabahh",2
Bank Mandiri KCP Jakarta Bandengan,5,cabang nya bagus modernn sekali,2
Bank Mandiri KCP Jakarta Bandengan,5,ok sih pelayanannya,2
Bank Mandiri KCP Jakarta Bandengan,5,sangat ramah dan cepat jelas dan baik sukses mandiri,2
Bank Mandiri KCP Jakarta Bandengan,5,mantap,2
Bank Mandiri KCP Jakarta Bandengan,5,petatsunya ramah,2
Bank Mandiri KCP Jakarta Bandengan,5,csnya ramah.,2
Bank Mandiri KCP Jakarta Bandengan,5,"pelayanan memuaskan cepat, dan sangat membantu, dan ramah",2
Bank Mandiri KCP Jakarta Bandengan,5,"layanan terbaik, terima kasih .",2
