Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bendungan Hilir,5,buka rekening mudah,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,"buang2 waktu datang kesana tanpa hasil. pelayanan sangat buruk,lambat dan menunjukkan waktu customer tidak ada berarti buat mereka. staff tidak tanggap, tidak informatif, tidak menguasai tugasnya sama sekali.rating 4,5 ketinggian buat service busuk seperti ini",0
Bank Mandiri KCP Jakarta Bendungan Hilir,1,antri nya lama banget dari nomor cs 02 ke cs 03 saja 1 jam enggak kelar. buang waktu,0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan nya sangat memuaskan,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,"gila ini kurang pengalaman apa ya orang bank, lama benar pelayanan. kayak baru training . padahal enggak ada cs yang lain cuma saya saja",0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,bagus cepat,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,"penyanan super duper lama, saya orang benhil, saru anteian saja itu 35 menit, pernah saya sampai 40enit baru di pangil arkitin berikutnya, kalo malu nabungending jangan digan cabungan hilir, super lele seua pegawainya, saya sudah 4 .",0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan bagus ramah dan ceapt,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanan memuaskan, antrian cepat, karyawan nya juga ramah semua.",2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,sekelas bank bisa loh sistem nya offline baik cs maupun teller .,0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat aktif,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,tempatnya nyaman bagus kekinian pegawainya juga ramah2,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,cepat dan mudah,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"sekarang pelayanannya maksimal. enggak ragu sering-sering kesini karena tempatnya nyaman, cs teller security ramah",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,bagus banget,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,keren,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,cs sangat membantu dan menjelaskan dengan detail,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanannya bagus dan ramah sekali, very helpful",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanan baik,cepat, petugas ramah ruang tunggu nyaman dan fleksibel",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pembukaan rekeningnya cepat,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,banyak yang mulus,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"alhamdulillah,sangat puas dengan pelayanan bank mandiri benhil",2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,tempat bagus pelayanan ok,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"tempatnya bagus, pelayanan cepat",2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,aduh pelayanan csnya sangat lambat sekali sudah sejam menunggu belum dilayani juga padahal lagi sepi,0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,beter lah untuk pelayanannya,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pembukaan rekening mudah dan cepat dibantu cs,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,pelayanannya lama. cari cabang lain saja better,0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"kantor nyaman, pelayanan baik, cs ramah..",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan paling oke,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanan sangat ramah, dan sangat membantu dan mengarahkan nasabahnya",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,bagus,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"staf rama jelas . "".",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,bagus dan strategis tempatnya,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanannya memuaskan, mulai dari security, teller sampai cs ramah dan baik servicenya. terima kasih",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"tempatnya nyaman, pelayanan nya ramah, fasilitas nya okeh.",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"tempatnya nyaman, cs dan teller ramah",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,nice,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"staff ramah, pelayanan cepat",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"pelayanannya ramah, profesional dan tempatnya nyaman",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayan bagus,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"cs sama tellernya ramah, jika ada masalah dibantu hingga tuntas, beberapa memang membutuhkan waktu.",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"layanan sangat rendah hati, hangat, sopan, penjelasan yang baik.",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayananan ok & ramah.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"cabangnya bagus, cs & tellernya juga ramah dan helpfull. memang cabangnya ramai sih di pusat kota dan lokasi strategis tidak perlu parkir di gedung jadinya pasti penuh. yang penting dilayanin dengan baik dan tulus",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,pelayanan lambat dan tidak gesit dari customer servicenya bernama aulia,0
Bank Mandiri KCP Jakarta Bendungan Hilir,1,sedikit berbagi pengalaman datang kesini. awalnya pas datang tempatnya oke dan nyaman tapi berbanding terbalik dengan pelayanan teller cs nya.. antriannya tidak banyak namun saya menunggu hampir 1 jam 30 mnitan .. saya enggak tau sop nya,0
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"tempat nya nyaman, pelayanan nya ramah, fasilitas nya oke menunggu lama juga kagak bakal bosan ini mah",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,"mandiri itu sangat baik pelayanannya ramah2 pegawainya, cepat juga pelayanannya",2
Bank Mandiri KCP Jakarta Bendungan Hilir,5,pelayan sangat ramah dan nyaman kantornya .jd betah datang lagi,2
Bank Mandiri KCP Jakarta Bendungan Hilir,1,nerbitin kartu doang 2 jam lebih luar biasa,0
Bank Mandiri KCP Jakarta Bendungan Hilir,1,"cozy place tapi customer service yang berkerudung kerja nya sangat lambat, kebanyakan curhat dan bercanda. antrian sedikit. saya sudah menunggu 2 jam 30 menit",0
