Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bintaro Jaya,5,sangat-sangat membantu,2
Bank Mandiri KCP Jakarta Bintaro Jaya,1,kemarin suami saya ke bank mandiri cabang bintaro sektor 1 untuk pengaduan kartu e money yang rusak wap ada saldo 200ribu. saya enggak dambinin karena saya baru melahirkan.,0
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"cabangnya bersih, satpam ramah, pelayanannya bagus dan cepat. mantap",2
Bank Mandiri KCP Jakarta Bintaro Jaya,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Bintaro Jaya,5,buka rekening mandiri di bantu oleh cs terbaik ibu rina. terimakasih ibu rina. sukses bank mandiri,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,membuka blokir atm di cabang bintaro jaya di layani oleh cs terbaik ibu rina. terimakasih ibu rina,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"perbaiki livin sih bantu te rina, terima kasih",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"ke bank mandiri benerin livin ke mbak rina, duh sabar banget bantuin nya, terima kasih mbak rina , bantuan nya, sehat selalu mbak rin, selamat menjalan kan ibadah puasa",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"buka blokir livin di bantu ibu rina, matur nuwun bu rina",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"buka rekening di bank mandiri jakarta bintao jaya sektor 1 nyaman banget , dibantu mbak nya baik banget, terima kasih mbak rina",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"ganti kartu atm di bantu oleh mpok rina,",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"ganti kartu lebih mudah , apalagi di bantu mbak rina , ktp saya enggak rusak , tapi tetap di bantu dengan cepat , terima kasih mbak rina yang baik baik",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,pelayanan baik dan ramah..terima kasih mbak rina,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"ke bank mandiri jakarta bintaro jaya yang di samping super indo, sekalian belanja , nyaman banget! parkiran nya luas! petugas nya mulai dari security ramah dan gercep, di bantu kak rina untuk buka rekening senang banget deh! thank you banget kak rin",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"wow sudah lama indak ke mandiri sini, makin keren dan nyaman, tadi kesini di bantu mbak rina, terimakasih bantuan nya mbak rina , sabar banget mbak nya",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,ke bank mandiri ganti kartu dan daftar livin di bantu bu rina yang baik hati terimakasih bu rina,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,pelayanan baik ramah cepat terimakasih teh rina bantuan nya,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"ke bank mandiri jakarta bintaro kayak sektor satu untuk buka rekening di bantu kak rina, terima kasih kak rina bantua nya,",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"bank mandiri jakarta cabang bintaro untuk pergantian kartu atm di layani dengan sangat ramah,dan cepat oleh mbak rina",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"buka rekening di bank mandiri sektor 1, nyaman banget, ruang runggu nya juga nyaman , seluruh staf nya baik ramah, khusus buat mbak rina, terimakasih banyak untuk bantuanya , sehat selalu buat kita semua",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"terimakasih banyak mbak rina atas bantuan nya, saya nasabah mandiri jakarta bintaro jaya sejak tahun 2020 , tidak pernah kecewa, selalu gercep",2
Bank Mandiri KCP Jakarta Bintaro Jaya,4,"tempat menunggu nyaman, pelayanan cukup cepat",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"transaksi di bantu bu rina, di layani dengan baik ramah dan cepat, terimakasih bu rina",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"bank mandiri jakarta bintaro jaya , jaya selalu, terimakasih bu rina bantuan nya",2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,terima kasih kak rina atas bantuannya,2
Bank Mandiri KCP Jakarta Bintaro Jaya,5,"terima kaseh bank mandiri cabang bintaro jaya, puas banget dengan pelayan disini saya dilayani oleh cs mbak rina ramah dan cepat , terima kasih--",2
