Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bintaro Veteran,5,baik dan ramah,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,keren.. pelayanannya nyaman.. petugasnya ramah syekali,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,top pelayanan nya cs kak olivia,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat bagus pelayanan nya diharapkan bisa dipertahankan,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sekuriti nya baik banget xs nya juma ramah mantap,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,bapak scurity nya baik ramah petugas nya juga ramah ramah mantap mandir,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,petugas nya ramah scurity nya juga ramah mantap rekoman dah. mantap,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,olivia yohana petugasnya ramah sekali,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,mantap,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,benar-benar baik dan bekerja sama staf,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,baik,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,baik,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,fakta respon..pelayanan kepada nasabah sangat baik,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"terimakasih bank mandiri cabang rempoa, sudah membantu membuka kan rekening mandirinya , sangat membantu sekali cs di kcp ini, terimakasih",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayan sekuriti dan cs ramah,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"alhamdulillah datang ke mandiri rempoa, pelayanan nya cepat dan castamernya juga ramah, terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayan yang sangat baik,dengan bertemunya bu olivia",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat membantu saya. terima kasih,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat bagus,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,alhamdulillah bank mandiri kcm rempoa pelayanannya bagus bngt.semua ramah tempatnya nyaman jempol untuk bank mandiri kcm rempoa.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayanannya baik, ramah dan tempatnya bersih",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,1,"pelayanan terburuk, dilayani oleh satpam dengan muka sangar, tanpa salam, bahasa nya kasar di biarkan kami berdiri lama padahal tidak orang yang di layani. parah parah. sop bank mandiri apakah seperti ini.. kapok dengan bank mandiri..",0
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayanan sangat baik dan ramahan. olivia yohana s. dijelaskan beberapa produk, dan transaksi yang lainnya. melayani dengan baik. terima kasih",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pergantian atm dibantu cepat dan ramah oleh mbak olivia cs. terima kasih bank mandiri. sukses terus,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayanan sangat baik, karyawan dan securitynya ramah.good job",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayananya ramah, baik, terima kasih sudah membantu mbak olivia",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan sangat ramah dan membantu nasabah dengan baik.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan dari bank mandiri rempoa sangat bagus dan sangat memuaskan. semua karyawannya sangat membantu,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"proses pembuatan rekening nya cepat, dan ramah",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan bagus sangat ramah,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayanannya memuaskan, saya ganti atm langsung dilayani oleh cs mbak olivia dengan cepat. terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanannya bagus .,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,mantap,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,dapat pelayanan prima dari mbak olivia,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,saya ke cabang ini untuk membuka blokir bank dan cs olivia memberi layanan dengan baik.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"pelayanannya bagus, cepat, dan ramah. semoga dipertahankan terus. semangat!",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanannya oke banget,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,teller nya ramah dan penanganan cepat,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,cepat banget mantap,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,responsif staf nya ramah suasananya man,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,"terima kasih, responsif dan sangat membantu",2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bintaro Veteran,5,pelayanan bagus dan bersih nyaman untuk bertransaksi dan mengurus urusan perbankan,2
