Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanannya bagus sekali , ramah dan informatif .",2
Bank Mandiri KCP Jakarta Bluegreen,5,"servis bagus, pelayanan good",2
Bank Mandiri KCP Jakarta Bluegreen,5,gercep dan pelayanan prima. mandiri blugreen mantoll mantap betol,2
Bank Mandiri KCP Jakarta Bluegreen,5,"nyaman pelayanan baik,",2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat baik,2
Bank Mandiri KCP Jakarta Bluegreen,5,terbaiiqq,2
Bank Mandiri KCP Jakarta Bluegreen,5,nyaman,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,terbaik,2
Bank Mandiri KCP Jakarta Bluegreen,1,tidak baik!,0
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanannya cepat dan memuaskan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan bagus!,2
Bank Mandiri KCP Jakarta Bluegreen,5,cs dan kacab sangat bagus,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan cepat dan pegawainya ramah dan baik..tempat ya bersih dan nyaman..,2
Bank Mandiri KCP Jakarta Bluegreen,5,"palayanannya sangat ramah, tepatnya nyaman dan bersih",2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan nya top markotop,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat bagus sekali,2
Bank Mandiri KCP Jakarta Bluegreen,5,teller nya ramah dan helpfull . sukses selalu ya,2
Bank Mandiri KCP Jakarta Bluegreen,5,mantap pelayanannya top bgt!,2
Bank Mandiri KCP Jakarta Bluegreen,5,semua staf yang baik cs sangat membantu dan ramah.,2
Bank Mandiri KCP Jakarta Bluegreen,5,terimakasih sudah membantu,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan cepat dan ramah..good deh pokoknya,2
Bank Mandiri KCP Jakarta Bluegreen,5,staffnya ramah dan baik,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat baik pelayanannya,2
Bank Mandiri KCP Jakarta Bluegreen,5,ruangan nya dingin dan nyaman,2
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanan ok, ruangannya nyaman",2
Bank Mandiri KCP Jakarta Bluegreen,5,pegawainya ramah tamah untuk masalah tukar uang gampang,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanan yang sangat bagus, mbak nya sangat ramah dan antusias melayani nasabah, terimakasih buat staf yang selalu semangat melayani",2
Bank Mandiri KCP Jakarta Bluegreen,5,enaknya pelayanan,2
Bank Mandiri KCP Jakarta Bluegreen,5,"panas"" mbak nya masih semangat saja .mkasih ya mbak atas keramahan nya",2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan sangat baik dan asek asek orang nya,2
Bank Mandiri KCP Jakarta Bluegreen,5,"lokasinya tenang, bersih, pelayanannya sat set",2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat baik pelayanan yang diberikan,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanannya mantab betul bu hayee,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayananya bagus.. ramah dan sabar dalam menjaeab pertanyaan..,2
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanan nya mantap,staf nya cantik, ramah dan murah senyum.apalagi ruangan nya bersih dan the best pokonya!",2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Bluegreen,5,"tempatnya ada didalam gedung lantai 1 belakang holland bakery, pelayanan yang super cepat, staf yang ramah dan murah senyum , salam kenal untuk kakaknya, and ruangannya juga nyaman dan bersih, semoga semakin jaya mandiri",2
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanan nya cepat, staf2 nya ramah ruangan nya bersih dan nyaman. menangani keluhan pelanggang dengan sangat baik.",2
Bank Mandiri KCP Jakarta Bluegreen,5,"pelayanan nya cepat, staf nya ramah dan murah senyum. ruangan nya bersih dan nyaman",2
Bank Mandiri KCP Jakarta Bluegreen,5,bagus bersih,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bluegreen,5,pelayanan nya baik dan semua sangat ramah dan tidak pernh antri dalam pelayaanan semoga makin sukses dan jaya bank mandiri kcp bluegreen,2
Bank Mandiri KCP Jakarta Bluegreen,5,"layanan yang baik,",2
Bank Mandiri KCP Jakarta Bluegreen,5,sangat baik,2
Bank Mandiri KCP Jakarta Bluegreen,5,"staf super membantu dan ramah, menyukainya",2
Bank Mandiri KCP Jakarta Bluegreen,5,layak dapat bintang 5 dengan pelayanan yang sangat ramah dan gercep membantu nasabah. sukses selalu bank mandiri jakarta blugreen,2
