Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,pelayanan ramah pembuatan rekening sangat cepat terimakasih cs nya baik,2
Bank Mandiri KCP Jakarta Botanical Garden,5,terimakasih cs nya membantu buka rekening dengan cepat,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,puas banget dengan pelayanan mbak via baik sangatt dan ramah cantik. dan security2 nya juga sangat membantu. terimakasihh banyakk,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,good nice,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,pelayanan ramah baik cepat terima kasih mbak,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,"pelayanan baik, ramah dan murah senyum",2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Botanical Garden,5,pelayanan sangat ok dan staf nya ramah,2
Bank Mandiri KCP Jakarta Botanical Garden,5,abagus,2
Bank Mandiri KCP Jakarta Botanical Garden,5,keren pelayanannya.. terimakasih mbak2nya yang baik hati..,2
Bank Mandiri KCP Jakarta Botanical Garden,5,sangat terbantu oleh mbak nur amelia untuk pembuatan rekening baru. terimakasih,2
Bank Mandiri KCP Jakarta Botanical Garden,5,mbak mbak teller nya baik baik ramah dan cantik,2
Bank Mandiri KCP Jakarta Botanical Garden,5,pelayanan ya sangat memuaskan,2
