Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Buaran,5,"security ramah, pelayanan cs dan teller cepat dan baik",2
Bank Mandiri KCP Jakarta Buaran,5,pembukaan rekening pribadi dibantu cs mas ilham sangat dibantu dengan baik dan cepat,2
Bank Mandiri KCP Jakarta Buaran,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Buaran,5,"cabang nya keren ,security proaktif,",2
Bank Mandiri KCP Jakarta Buaran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Buaran,5,"pertama kali sampai langsung di sambut security di depan, security nya ramah terus saya disuruh masuk ke dalam dan ketemu security lagi. security di dalam bantu saya jelasin terkait buka rekening online atau offline yang ada buku tabungan. suka banget, pelayanannya bank mandiri great customer experience. terima kasih bank mandiri",2
Bank Mandiri KCP Jakarta Buaran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Buaran,5,pelayanan atas nama helsya lebih bagus daripada yang lain,2
Bank Mandiri KCP Jakarta Buaran,5,pelayanannya cepat!,2
Bank Mandiri KCP Jakarta Buaran,5,terimakasih untuk karyawan bank mandiri buaran baik banget satpam cs teller nya. waktu buka rekening dibantu banget sampai cs nya mau pinjemin hapenya ke saya karena hape saya kameranya rusak. lupa nama cs nya siapa semoga sehat selalu kak,2
Bank Mandiri KCP Jakarta Buaran,5,kesini mengurus refund dana emoney yang gagal top up 2 kali via gopay. sudah di infoin sebelumnya sama security waktu sekali gagal topup supaya langsung topup emoney via bank mandiri biar cepat refund. tetapi karena penasaran dan topup ke 2,2
Bank Mandiri KCP Jakarta Buaran,5,"mainnya hebat, kerja bagus",2
Bank Mandiri KCP Jakarta Buaran,5,"rama, suasana yaman, pokonyaa terbaik",2
Bank Mandiri KCP Jakarta Buaran,5,pelayanan yang baik dan ramah,2
