Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"cabangnya sudah digital, pelayanannya cepat dan mudah.",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih pak suwito saya sudah dibantu daftar livin merchant. sangat mudah dan keren aplikasinya.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin cetak kartu oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"terima kasih cabang bgi, khususnya mas wito. pelayanannya cepat, apa yang kita butuhkan diberi saran yang solutif untuk keperluan transaksi sehari-hari. semoga cabangnya semakin maju dan bertumbuh. tempat menunggunya nyaman, kereen!",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,ok,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin cetak kartu oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin cetak kartu ok,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin csm berguna dengan baik,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayananya baik bagus securitynya atas nama pak narto membantu sekali,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin csm oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"cabangnya nyaman, transaksi jadi nyaman full senyum karyawannya",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,ok bnaget,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin cetak kartu ok,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin cetak kartunya oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,cs mesin ok.good,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin pencetak kartu oke,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"cabangnya bersih , petugas2 nya baik .",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,bagus,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih atas layanannya. sangat memuaskan,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,ob nya gercep securitynya ramah2 kanyornya bersih dan wangi,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,ob nya gercep security-nya ramah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantor nya smart branch digital moderenisasi,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat bersih kantornya ob nya gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat membantu and penuh gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"tempatnya bersih,rapih dan nyaman. pelayanan ramah dan cepat",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,keamanannya dan kebersihan nya bikin nyaman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"kebersihan gedung nya, mantul",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"mantapp, pelayanan nya memuaskan, terbaik",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih bank mandiri bukit gading indah. layanannya keren dan bagus,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pegawainya baik dan cepat tanggap. mantap,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"kantornya bersih, wangi. pegawainya juga ramah dan baik. thank you bank mandiri",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayanannya ok,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,keren banget livinn pegawai ok banget mas lukman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,alhamdulillah pelayanan ya ramah banget terima kasih,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih bank mandiri saya sudah dibantu buka rekening dengan cepat,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantornya bersih dan nyaman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat membantu karyawanya,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,cabangnya bersih dan pegawainya ramah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pegawainya ramah dan informatif,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,security nya ramah pada saat mengalihkan penggantian kartu debit di mesin csm,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,mesin atm oc,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantornya nyaman dan rapi,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,karyawannya sangat ramah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,bersih dan rapi kantornya,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat baik dan nyaman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"cabang nya nyaman, transaksi cepat",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih saya sudah dibantu pembukaan rekening di bank mandiri. sangat mudah dan praktis.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,karyawannya ramah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,bersih dan nyaman karyamanya gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,nyaman dan bersih,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"pengajuan kredit sangat di bantu,terimakasih mandiri",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,karyawannya gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat bersih dan nyaman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantornya sangat bersih dan yaman,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayanannya sangat gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,terima kasih mandiri mempermudah untuk usaha saya,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,di bantu pengajuan kredit nya sangat mudah,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat bersih kantornya.karyawanya gercep,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantornya bersih,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,petugasnya sangat baik dan ramah. terima kasih bank mandiri,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"pelayanan yang saya dapatkan sangat baik, sangat ramah dan membantu",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,pelayanan sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,"pelayanannya ramah, cepat, dan informatif",2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,sangat berguna. taksi,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Bukit Gading Indah,5,kantornya bersih dan wangi,2
