Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Bursa Efek,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,pelayanan dan cabang nya bagus.. keren,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,keren,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Bursa Efek,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,5,"transaksi sangat mudah dan efesien menggunakan eform, digitalisasi sekali",2
Bank Mandiri KCP Jakarta Bursa Efek,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Bursa Efek,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Bursa Efek,1,"mau tarik tunai di persulit, enggak menghargai waktu customer. enggak sinkron antara cs dan teller sehingga buang waktu. ini cabang terburuk yang pernah saya datangi better plaza mandiri/sudirman. pengelolaannya lola dan suka ribetin customer",0
