Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta CBD Pluit,5,cs nya bu amanda sangat helpful :d,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan teller dan cs ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,kantor cabang ini pegawainya ramah semua,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanannya top markotop,2
Bank Mandiri KCP Jakarta CBD Pluit,4,cabang mandiri disini bersih good job,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan tellernya ramah,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan nya oke bgte,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"pelayanan ramah,setoran sales cash selalu di sini",2
Bank Mandiri KCP Jakarta CBD Pluit,5,cs nya amanda helpingl banget thank lu kak,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayananya bagus. apalagi satpamnya murah senyum dan sigapan thx pak fajar.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,mantap pelayannya ok banget,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"pelayanan nya baik, cs nya ramah sekali, cekatan dan cantik. amanda nama nya.",2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat membantu,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan nya bagus dan staf nya sangat ramah sekali,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanannya memuaskan dan sangat ramah,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sudah ya,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,all t o p,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan ramah.baik,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,satpamnya ganteng-ganteng,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan ok tq buat semua atas pelayanan nya,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta CBD Pluit,5,thx,2
Bank Mandiri KCP Jakarta CBD Pluit,5,thx,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan terbaik!,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayan bagus,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,layanan yang baik.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"cbng bersih satpamnya ganteng ramah tamah csnya ramah tamah , telernya pelayanannya cepat",2
Bank Mandiri KCP Jakarta CBD Pluit,5,"pelayanannya bagus , karyawannya ramah",2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"ac nya adem,tempat nya bersih,udah begitu saja ulasan rating nya,jgn bnyk kasihan yang lain",2
Bank Mandiri KCP Jakarta CBD Pluit,5,baik dan cepat layanan,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"scurity ya ramah ,,pelayananya bagus",2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,telernya cepat security nya baik banyak membantu,2
Bank Mandiri KCP Jakarta CBD Pluit,5,"pelayanan nya baik,cs teller nya ramah sekali dan cekatan",2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta CBD Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
