Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"security ramah, baik.. mantap",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,cepat tapi antri lama,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,baik pelayanannya cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan cs baik ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,baik dan sangat ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan nya baik alhamdulilah stafnya ramah ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan cepat kasir ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,bintang 5 terbaik,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,tongkat ramah pelayanan,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,buka rekening cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,cepat pelayanan nya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan teller ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,buka rekening cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,ramah2 cs dan teller nya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan nya bagus mantap,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanannya ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanannya sungguh cepat akurat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayan teller cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,buka rekening cepat di hp,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanannya sangat baik dan pegawai nya ramah bangett,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,alhamdulilah cabang babek tni sangat membantu pelayanan cepat dan baik-baik petugas nya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,buka rekening cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"pembukaan rekening sangat dibantu , terimakasih bank mandiri pelayanan bagus",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"terimakasih mandiri ,pelayanan baik pembukaan rekening sangar mudah",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,cepat pelayanannya,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan bagus topp,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,top mantap adalah yang terbaik,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"mbak shofi , mbak iren mantap mantap mantap",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,layanan lebih bagus dan cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"pelayanan baik, ramah, gercep nicee",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,dekat rumah.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"simpel, pelayanan memuaskan. terimakasih",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"terimakasih atas pelayanannya , pengembalian dana refund emoney cukup mudah di info 1 hari kerja ,pagi hari pelaporan ternyata sore hari sudah masuk dananya ke rekening",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,terimakasih bank mandiri pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan bagus terimakasih bank mandiri,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan di bank mandiri jakarta cakung babek tni baik dan ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"pelayanannya terbaik, cepat, dan ramah",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"pegawainya baik ,ramah""",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan dari security sampai cs terbaik. layak bintang 100,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,mantap,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,petugas nya sangat ramah ramah,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,pelayanan bagus dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"tempatnya nyaman, pelayanannya juga ramah",2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,bagus sekali pelayanan nya rama rama,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,dilayani dengan ramah pelayanan juga cepat baik pokoknya top markotop deh trimah kasin,2
Bank Mandiri KCP Jakarta Cakung Babek TNI,5,"sangatnyaman,pelayanah",2
