Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cakung,5,untuk pelayanan nya cepat,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,"pelayanan nya sangat cepat, petugasnya ramah",2
Bank Mandiri KCP Jakarta Cakung,5,tempatnya nyaman bersih rapi,2
Bank Mandiri KCP Jakarta Cakung,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,the best,2
Bank Mandiri KCP Jakarta Cakung,5,sangat ramah pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,terbantu terimakalih,2
Bank Mandiri KCP Jakarta Cakung,5,sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,"pelanyansannya baik,cepet",2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,security dan csnya ramah,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,"pelayanan ramah, cepat dan jelas. memang mantap",2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,"pelayanannya bagus,",2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Cakung,5,untuk pelayananan bagotus gercup terimakayah untuk bpk security yang sudah membantu,2
Bank Mandiri KCP Jakarta Cakung,5,security nya ramah dan mau mengarahkan terimakasih,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan baik ramah,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan baik ramah,2
Bank Mandiri KCP Jakarta Cakung,5,"""satpam nya ramah""",2
Bank Mandiri KCP Jakarta Cakung,5,"pelayanannya baik sekali, terutama tellernya",2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cakung,5,pelayanan baik banget,2
Bank Mandiri KCP Jakarta Cakung,5,mantab,2
Bank Mandiri KCP Jakarta Cakung,5,sangat puas dengan pelayanan yang diberikan.,2
