Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,pelayanan yang memuaskan terimakasih sudah banyak dibantu untuk bertransaksi,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"pelayan ramah,baik dan cepat",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"pelayanan bank mandiri cenpaka putih sangat memuaskan, dan ramah-ramah sekali, maju terus bank mandiri cempaka putih",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,best mbak rizka pelyanan nya,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"cs baik, ramah, menjelaskan dengan baik",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"teller nya ramah dan helpfull terutama mbak cindy, mbak bita dan mbak dian, sukses terus ya",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,good cs ibu eva zenia,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,lingkungan bersih luas dan pelayanan semua staff sangat ramah dan menyenangkan!,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"bank langganan, kalo tt, staff nya super duper ramah & membantu nasabah dengan sabar mbak cindy, mbak riska, mas nio & semua staff sampai pak satpam nya terbaik pokoknya",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"baik ramah dan cepat pelayanan cs/tellar dibank mandiri, thanks mbak cindy maharani,tsabita alaina alhaq dan ika dian",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,mantap.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,good services!,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,penggantian kartu atm cepat. informasi livin dan beacukai baik.,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"sangat membantu dan sangat ramah mbak zahra, terimakasih",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"pelayanan sangat memuaskan, cs dengan fatimah az zahra sangat ramah dan membantu",2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,pelayanan kakak cs dan tellee,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,pelayanan ramah dan cepatt,2
Bank Mandiri KCP Jakarta Cempaka Putih Permai,5,"terima kasih rizka rahniayu,service terbaik",2
