Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"dari mulai tukang parkirnya, petugas securitynya, customer servicenya & petugas teller nya. pelayanannya ok banget, ramah menyenangkan. tempatnya pun juga nyaman.",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanannya bagus memuaskan,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,kantor cabang yang bagus mengurus atm yang ketelan enggak begitu lama dan pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan ramah dan baik telah membantu dengan baik,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan nya cs dan teller cepat dan bagus,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat baik pelayanannya,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan nya sat set dan memuaskan,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan respon dengan baik dan cepat dan ramah,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayana bagus, teller nya juga ramah",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayan sangat baik,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,memuaskan,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"tempat nya nyaman, pelayanan nya cepat and ramah",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan nya ramah dan baik banget, benar-benar dibantu kalo kurang paham . tempat nya juga oke, nyaman deh kalo lagi nungguu",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan nya sangat baik dan untuk tempat nya yang sekarang lebih nyaman &luas,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,layanan dengan cepat dan baik.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,4,ramah pelayanannya,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan baik dan bagus serta profesional,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan penuh smile, cepat bersahabat.. sukses mandiri",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanannya sangatt baik dan ramah,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanannya baik sekali,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"tempatnya okelah baru renovasi, parkiran juga luas, karyawannya semua juga oke pelayanannya. sampai tukang parkirnya juga oke. jadi tiap hari kesini terus, tapi enggak pernah dikasih doorprize..",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan nya sudah jauh lebih baik,, nasabah yang ingin setor sekarang enggak perlu antri berdiri lagi. sukses terus mandiri",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan yang ramah dan cepat, god",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,bagus,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,pelayanan teller bagus,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan nya sangat baik, teller nya juga ramah. saya kesini bertujuan untuk membayar ukt",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,"pelayanan super ramah dan cepat, tempatnya juga nyaman dan luas karena habis renovasi",2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,1,cs nya banyak biacara hal hal yang penting jadi memperlambat proses laninya yang orang pada nuggu lama banget enggak worth itu ngobrolin bukan hal yang tentang keluhan nasabah,0
Bank Mandiri KCP Jakarta Cengkareng Pasar Ganefo,1,"payah pelayanannya kurang memuaskan, apalagi security nya. saya mau buka rekening baru dan hp saya enggak bisa vermuk saya tanya apa enggak bisa dengan cara lain malah jawab enggak bisa harus pakai vermuk, kasihan yang mau buka rekening tapi enggak punya hp atau hpnya jadul",0
