Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cibis Nine,5,layanan cs dan teller terbak,2
Bank Mandiri KCP Jakarta Cibis Nine,5,orangnya ramah2 dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,cabang isinya ramah dan rapi,2
Bank Mandiri KCP Jakarta Cibis Nine,2,gedung nya bagus bersih security ramah ..sayang customer service nya slow respons /lambat,0
Bank Mandiri KCP Jakarta Cibis Nine,5,scurity dan cs nya sangat ramah dan responsif,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"baguss, semua serba gercepp pelayanan oke",2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanannyaa ramah,2
Bank Mandiri KCP Jakarta Cibis Nine,5,good,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sungguh luar biasa pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"pelayanannya cepat, cs dan teller nya sangat komunikatif dan baik semua",2
Bank Mandiri KCP Jakarta Cibis Nine,5,mantl,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"pelayanannyaa ok, tempatnyaa bersih, teller nya ramaah bgt!",2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,mantap apalagi cs nya bernama jianisa budi sangat baik hati melayani,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"baik, tellernya ramah2, pelayanannya baik dan bagus cepat",2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"pegawainya ramah ramah.. tempatnya pun bersih,.",2
Bank Mandiri KCP Jakarta Cibis Nine,5,baik dan nyaman,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat amat baik,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"sepi, bersih, ada welcome drink nya",2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,"tempatnya nyaman, pelayanannya baik",2
Bank Mandiri KCP Jakarta Cibis Nine,1,sangat lambat layanan!! ternyata hanya ada dua staf layanan pelanggan yang tersedia! dan dapat mengambil lebih dari satu jam hanya untuk melayani satu pelanggan!.,0
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cibis Nine,5,cs nya baik dan ramah banget,2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan sangat ramah dan menyenangkan,2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan sangat memuaskan. csnya ramah dan melayani setulus hati,2
Bank Mandiri KCP Jakarta Cibis Nine,5,petugasnya sangat ramah,2
Bank Mandiri KCP Jakarta Cibis Nine,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Cibis Nine,5,[ gambar di hlm.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,pelayanan baik dan fasilitas nya bagus,2
Bank Mandiri KCP Jakarta Cibis Nine,5,telernya ramah,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat bagus pelayanannya ramah cepat tanggap dan bersih sekali,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibis Nine,5,sangat puas dengan pelayanan yang diberikan.,2
