Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cibubur,5,"pelayanannya memuaskan, sangat baik dan ramah",2
Bank Mandiri KCP Jakarta Cibubur,5,"pelayanannya bagus, cs 2 munisah aulizzy juga baik & cantik",2
Bank Mandiri KCP Jakarta Cibubur,5,cs nomer 2 munisah baik banget pelayanannya juga bagus plus cantik banget,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,2,"waktu tunggu 2 antrian pelayanan cs lama, sekitar 25 menit lebih, dengan 4 cs yang bertugas",0
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,1,"info di google hari sabtu bank nya bukaa sampai jm 12, ternyata sabtu libur tolong bisa di update jam operasionalnya",0
Bank Mandiri KCP Jakarta Cibubur,3,"untuk layanan satpam sudah ok sangat ramah, hanya saja untuk layanan teller nya masih kurang layanan agak lama, saya mau buka rekening baru di tellernya lama entah ketik apa di komputer, untuk penjelasan dari teller lumayan di mengerti.",1
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,1,pelayanannya lama banget padahal bank milik negara lo.. parah sekali enggak bisa cepat kayak di bank swasta yang biru biru itu pelayananna the best,0
Bank Mandiri KCP Jakarta Cibubur,5,banyak sekali membantu walau banyak antrian.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat terbantu dengan teller cabang cibubur mantap,2
Bank Mandiri KCP Jakarta Cibubur,5,"terima kasih bank mandiri. tiba-tiba dapat undian jempol, wow keren bank mandiri, sukses terus dan selalu memberikan yang terbaik untuk nasabah.",2
Bank Mandiri KCP Jakarta Cibubur,5,"pelayanan cepat, ramah. cs a/n fitri inisiatifnya baik, ulet, cekatan & very helpful.",2
Bank Mandiri KCP Jakarta Cibubur,5,"setiap mengurus macam dilayani degan baik oleh cs mbak munisha aulizzy, tolong mandiri naikan gajinya .",2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,"baik , dari pelayanan karyawan masyaallah baik , terimakasih",2
Bank Mandiri KCP Jakarta Cibubur,5,"dari segala aspek sangat cooperative dan ramah tamah orang di dalamnya, good job!",2
Bank Mandiri KCP Jakarta Cibubur,5,"pelayanan bagus, cepat, dan penjelasan oleh setiap staff bank sangat jelas.",2
Bank Mandiri KCP Jakarta Cibubur,5,mantap layanan nya,2
Bank Mandiri KCP Jakarta Cibubur,5,baik.. layanan ramah..,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,cs munisa pelayanan nya luar biasa sangat membantu,2
Bank Mandiri KCP Jakarta Cibubur,5,terimakasih mbak utami sudah di bantu set selalu pelayanan cepat respon wa sangat baik,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,keamanan dan teller nya rame banget,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,pelayanan ramah dan cepat jadi mudah untuk melakukan transaksi di cabang ini.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,"location di maps akurat ,untuk tempat bersih dan cs nya baik, menjelaskan dengan detail apa yang menjadi keluhan dalam rekening nasabah good",2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,"teller nya ramah , cs nya ramah,",2
Bank Mandiri KCP Jakarta Cibubur,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,cabang mandiri yang bersahabat pelanan ramah dan asik2 .,2
Bank Mandiri KCP Jakarta Cibubur,5,"petugasnya ramah, cabang nya bersih dan bagus",2
Bank Mandiri KCP Jakarta Cibubur,5,cabangnya rapi bersih karyawanya ramah dan pelayananya cepat,2
Bank Mandiri KCP Jakarta Cibubur,5,"petugasnya ramah, cabang nya bersih dan bagus",2
Bank Mandiri KCP Jakarta Cibubur,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cibubur,5,terimakasih bu tami sudah di bantu transaksi saya karyawannya hambel,2
