Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,"barusan transaksi disini pelayanannya ramah, cs dan teller ya ramah semuanya.",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,1,mandiri ini kenapa teler nya judes judes ya kayak enggak senang kita datang ..sangat tidak ramah,0
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,cs ramah cekatan,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan memuaascan,2
Bank Mandiri KCP Jakarta Cideng,5,top,2
Bank Mandiri KCP Jakarta Cideng,5,top,2
Bank Mandiri KCP Jakarta Cideng,5,cinta perbankan di bank mandiri cideng!,2
Bank Mandiri KCP Jakarta Cideng,1,pelayanan nya sangat lambat mengurus penggantian kartu debet saja hampir 2 jam apalagi cs ibu yang agak gemuk amit-amit kesel nunggunya,0
Bank Mandiri KCP Jakarta Cideng,1,pelayanannya buruk ..,0
Bank Mandiri KCP Jakarta Cideng,5,"pelayanannya sangat baik, security, cs, dan teller, mantap",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan baik , respon cepat",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,layanan baik-baik saja.,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayananya ramah,",2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan baik, staf rama, membantu",2
Bank Mandiri KCP Jakarta Cideng,5,terbaik,2
Bank Mandiri KCP Jakarta Cideng,5,baik dan ramah banget pelayanannya,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan bgs. tempat favorit untuk bayar pajak. terima kasih sudah banyak membantu.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,1,"pelayanan lama, ada 4/5 meja cs tapi yang dipakai cuma 1 dan itupun membuat lama antrian karena sibuk menawari produk. satpam juga ketika kita sampaikan keluhan hanya senyum meledek",0
Bank Mandiri KCP Jakarta Cideng,5,mantul,2
Bank Mandiri KCP Jakarta Cideng,5,proses cepat,2
Bank Mandiri KCP Jakarta Cideng,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Cideng,5,good job,2
Bank Mandiri KCP Jakarta Cideng,5,"ramah pegawainya, bersih rapi cabangnya",2
Bank Mandiri KCP Jakarta Cideng,5,bank yang melayani dengan baik,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,top banget.,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,"csnya ramah,sangat membantu",2
Bank Mandiri KCP Jakarta Cideng,5,"thank you bank mandiri, csnya komunikatif",2
Bank Mandiri KCP Jakarta Cideng,5,great!!,2
Bank Mandiri KCP Jakarta Cideng,5,mantap cs nya ramah,2
Bank Mandiri KCP Jakarta Cideng,5,good bagus,2
Bank Mandiri KCP Jakarta Cideng,5,layanan yang sangat baik!,2
Bank Mandiri KCP Jakarta Cideng,5,kantornya bagus pelayanannya baik,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan bagus dan terpercaya,2
Bank Mandiri KCP Jakarta Cideng,5,"tellernya membantu setoran nabung, dan dibantu pasang livin",2
Bank Mandiri KCP Jakarta Cideng,5,"sangat memuaskan pelayanan nya, mantap",2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Cideng,5,"customer service nya baik, terimakasih bank mandiri cideng.",2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan baik dan wellcome,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan sempurna. pegawainya ramah dan membantu. tks,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanannya baik dan karyawannya baik. terima kasih,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan baik dan ramah apapun yang ada di review jika kurang baik, gapapa jadi bahan evaluasi untuk jadi",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,terimakasih pak ateng dan pak ismet sudah memakirkan dengan baik,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan memuaskan, terima kasih buat kesigapan teller nya.",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan baik,ramah dan cepat",2
Bank Mandiri KCP Jakarta Cideng,5,top,2
Bank Mandiri KCP Jakarta Cideng,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Cideng,5,sangat bagus!!,2
Bank Mandiri KCP Jakarta Cideng,5,securitynya friedly dan helpull,2
Bank Mandiri KCP Jakarta Cideng,5,pelayanan nya sangat memuaskan,2
Bank Mandiri KCP Jakarta Cideng,5,"pelayanan nya ramah,sopan dan cepat,tempatnya juga bersih dan nyaman",2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,5,ok,2
Bank Mandiri KCP Jakarta Cideng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cideng,1,"pelayanan payah, enggak responsif menunggu lama datang dluan dilayanin belakangan",0
Bank Mandiri KCP Jakarta Cideng,2,susahnya telep ke bank mandiri cabang cideng barat sini ya - tidak ada yang terangkat atau tidak ada yang angkat dari kedua line telp yang tertera di website .,0
Bank Mandiri KCP Jakarta Cideng,5,top pelayanan nya,2
