Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,good,2
Bank Mandiri KCP Jakarta Cijantung,5,"keren banget , aku tadii habis ketemu kak wardahh orang nya humble banget ramahh lagi . suka",2
Bank Mandiri KCP Jakarta Cijantung,5,cs dan tellernya sok nice,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat bagus untuk pelayanan nya. sopan santun nya oke banget dalam melayani,2
Bank Mandiri KCP Jakarta Cijantung,5,"peleyanan cepat, teller sangat help full, satpam ramah",2
Bank Mandiri KCP Jakarta Cijantung,5,"teller nya ramah,pelayanan semuanya juga oke.",2
Bank Mandiri KCP Jakarta Cijantung,5,sangat baik dan ramah dalam melayani,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,"security ramah, teller baik dan selalu membantu nasabah",2
Bank Mandiri KCP Jakarta Cijantung,1,"pelayanan nya lama banget dikcp yang lain cepat enggak lama, sudah begitu satpam nya juga yang kecil enggak ngenakin banget jawab nya bknnya mengasih solusi malah begitu menyesal bikin rekening distu",0
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,"cakep teller dan cowok tellernya, baik dan cepat teknis transaksinya",2
Bank Mandiri KCP Jakarta Cijantung,5,"ramah banget sukak, selalu cairin cek disini",2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cijantung,5,saya dilayani mbak dindha cs ramah sekali dan ditawarkan buka tabungan simpel dan entar akhirnya saya buka. terimakasih mbak dindha bantuannya,2
