Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,teller nya ganteng dan murah senyum,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"bagus pelayanan, kebersihannya terjaga , top bangetlah",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,ntapp,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,ramah banget anak anaknya suka deh transaksi disini cepat juga gpl,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"asik banget cabang ini orangnya pada ramah, aku sering banget transaksi disini dan suka dikasih giftt sama tellernya",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,bagus solusif banget disini adem juga tempatnya dan pada ramah asik diajak ngobrl,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,tellernya ramah banget dan asik juga suka mengasih solusi yang baik,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,bagus,2
Bank Mandiri KCP Jakarta Cik Ditiro,1,"niat buka blokiran karena atm card terblokir . saya malah mendapat pengalaman buruk. oleh teller no 3 cowok hari ini. 28/10/24 tidak ada solusi, dan akhirnya saya buka rekening baru bri karena lebih enak pelayanannya. terimakasih",0
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,2,jam masuk setelah break ishoma jumatan jam berapa ya cs?,0
Bank Mandiri KCP Jakarta Cik Ditiro,5,parkiran luas,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanan terbaik anda akan memiliki,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,terima kasih atas pelayanannya untuk para cs yang baik hati,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya super ramah dan cepet. bertanya apa saja juga dilayanin dengan baik,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"tempatnya bagus, bersih, pelayanannya juga ramah",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,tempatnya lega dan parkir gratis,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"pelayanan nya bagus, ramah dan nyaman.",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"bagus, petsunya ramah",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"pelayanan bagus, ramah",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"pelayanan ramah,terbaik",2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,pelayanannya ramah dan komunikatif,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,parkir luas dan nyaman,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cik Ditiro,5,"pelayanannya ramah dan cepat, tempatnya nyaman",2
Bank Mandiri KCP Jakarta Cik Ditiro,1,"pelayanan kurang bagus saya datang pas lagi kosong enggak ada antrian, sudah selesai isi form tapi didiemin 30 menit, cs nya sibuk sendiri, akhirnya saya pergi.",0
