Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,pelayanan mbak galuh baik sekali,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,pelayanannya ramah ramah sekali,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,terimakasih mbak angel dan mbak andini yang sudah membantu proses transaksi saya dicabang mandiri.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak Barat,5,sangat puas dengan pelayanan yang diberikan.,2
