Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,terimakasih atas pelayanan,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan yang sangat baik dan ramah dan saling membantu para nasabah,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pleyan ok punya, yang pengin diskusi solusi keuangan blehenan mas ari ardyansyah.",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"tempatnya bersih, nyaman, tellernya juga cepat responnya, baik pula. pelayanan memuaskan",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan kur nya mantap,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan cepat dan nyaman,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan nya sangat baik dan penjelasan dari teller nya sangat jelas terima kasih,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan baik untuk pengganti kartu,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,csnya keren layanannya bagus dan membantu csnya mas rangga,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,nyaman baik ramah proses nya cepat juga,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"membuat rekening di sini, pelayanannya baik.",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayananan cepat walaupun rarai degan teler kak feni tri asmoro!,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,buka rekening di mandiri cilandak kko sangat simpel,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanannya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan cepat n puas,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,saya habis buka rekening baru nih di mandiri ko pelayanannya cepat sangat ramah dan sopan terima kasih,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pembukaan rekening di bank mandiri sangat cepat dan praktis, bertransaksi semakin mudah dengan mobile mandiri",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanan bagus, cepat, jelas",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,terima kasih semua staff sangat membantu dan ramah sekali,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pengalaman bilang, ""cukup rama"" dan ""membantu sehingga nasabah sang man"" dan ""puas.""",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"mbak cs baik, ramah, seru",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan sangat memuaskan,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,cs mas rangga sangat membantu sekalu,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanannya sangat baik dan fasilitas yang bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanan cs, pak rangga pelayanan dengan ramah, jelas dan opan",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"csnya mas rangga responsif, ramah dan cepat. keren transaksinya menyenangkan",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,teller atas nama tika sangat ramah dan pelayanannya cepat,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanannya cepat, teller dan csnya ramah",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,baik danlam langananan,2
Bank Mandiri KCP Jakarta Cilandak KKO,1,sekarang antre di cs bisa 2 jam padahal bank sepi. karyawan mandiri di cilandak kko makin menyusut. mungkin mau ditutup cabang ini kedepan.,0
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan di bank mandiri kcp cilandak ramah banget dari petugas security nya dan teller nya mbak rizka mulya a . kartu debit dan livin saya ke blokir akhirnya bisa di gunakan lagi keren pelayan kantor nya .,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan baik dan cepat dengan mbak rizka,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus pelayanan,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"bagus sekali, terimakasih sudah dibantu",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanannya cepat, staffnya ramah, tempatnya bersih dan nyaman",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,pelayanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanannya bagus dan cepat, semua karyawannya ramah2 dan tempatnya nyaman sejuk",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"tempatnya nyaman,staf nya ramah ramah semua,cs nya cantik cantik",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"teller sangat ramah, tempatnya juga sangat luas",2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,bagus,2
Bank Mandiri KCP Jakarta Cilandak KKO,5,"pelayanannya sangat baik ramah, mulai dari pertugas security dan customer service yang telah sigap membantu urusan perbankan saya , informasinya jelas terinci. terimakasih banyak atas bantuannya ya pak/ibu kcp cilandak kko.",2
