Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cimanggis,5,"tellernya sangat ramah, pelayanan sangat baik",2
Bank Mandiri KCP Jakarta Cimanggis,5,mantap,2
Bank Mandiri KCP Jakarta Cimanggis,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Cimanggis,5,terima kasih sudah dibantu ganti bukunya,2
Bank Mandiri KCP Jakarta Cimanggis,5,mantap,2
Bank Mandiri KCP Jakarta Cimanggis,5,ajib,2
Bank Mandiri KCP Jakarta Cimanggis,5,cabang bersih pegawai ramah,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Cimanggis,5,bagus,2
Bank Mandiri KCP Jakarta Cimanggis,5,cs nya ramah..sukses terus bank mandiri,2
Bank Mandiri KCP Jakarta Cimanggis,5,informasi yang diberikan jelas dan prosesnya cepat,2
Bank Mandiri KCP Jakarta Cimanggis,5,baik,2
Bank Mandiri KCP Jakarta Cimanggis,5,"pelayanan kepada nasabah terbaik, semoga bisa di pertahankan untuk nasabah yang lain",2
Bank Mandiri KCP Jakarta Cimanggis,1,"lama poll, cs nya banyak tapi pada istirahat katanya padahal yang menunggu juga banyak",0
Bank Mandiri KCP Jakarta Cimanggis,1,pelayanannya lama banget 1 antrian satu jam,0
Bank Mandiri KCP Jakarta Cimanggis,5,terimakasih sudah dibantu,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,terima kasih sudah dibantu buka rek,2
Bank Mandiri KCP Jakarta Cimanggis,5,wokeh tempat nyaman penyayanan ramah komunikatif,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan ramah dan sangat membantu. sangat informatif juga. terimakasih,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelayanan snagat ramah dan cepat,2
Bank Mandiri KCP Jakarta Cimanggis,5,terima kasih kak sudah dibantuin buka rek,2
Bank Mandiri KCP Jakarta Cimanggis,1,"staff deskoleksion tidak kooperatif. respon lambat. sudah datang ke cabang,, sudah di japri, lambat banget respon nya. kok bisa masih di pekerjakan os macam itu.",0
Bank Mandiri KCP Jakarta Cimanggis,5,puas dengan pelayanan,2
Bank Mandiri KCP Jakarta Cimanggis,5,"terima kasih untuk pelayanannya , sangat baik",2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,cs kak vika terbaik ramah,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,pelanggan pelayan bernyanyi ramah,2
Bank Mandiri KCP Jakarta Cimanggis,2,"semuanya bagus. kecuali security, mau ambil antrian sulit bgt, ditanya untuk apa: pbukaan rekening, katanya: pastikan ktp jabodetabek ya , bawa surat domisili, rekening baru? iya rwk baru. baiklah.. baliklagi besok, securitynya beda, enggak",0
Bank Mandiri KCP Jakarta Cimanggis,5,terima kasih sudah dibantu buka rek,2
Bank Mandiri KCP Jakarta Cimanggis,5,terima kasih sudah dibantu buat atmnya,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cimanggis,5,sangat bagus,2
