Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cipete,5,nyaman,2
Bank Mandiri KCP Jakarta Cipete,5,baik,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih telah di bantu mengbukan rekening online ole pak ahamat,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan angkat baik, dan ramah",2
Bank Mandiri KCP Jakarta Cipete,5,"terimakasih,mantep",2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih di bantu livin oleh pak ahmad sekuritati,2
Bank Mandiri KCP Jakarta Cipete,5,bagus pelayanan nya memuaskan,2
Bank Mandiri KCP Jakarta Cipete,5,"dilayani dengan cepat, jadi tidak membuang waktu",2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya bagus ramah,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cipete,5,bagus,2
Bank Mandiri KCP Jakarta Cipete,5,tetimanakh telah di bantu untuk pembuyaan rekening oleh bpk ahmad,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Cipete,5,mantab sukses selalu,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus dan baik,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan baik cepat tanggap ramah..,2
Bank Mandiri KCP Jakarta Cipete,5,sudah cukup baik,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,nyaman di sebagai pelayananan nya,2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih pak ahmad sekuriti telah bantu pengganti sebuah pin atm.,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pak ahmad,2
Bank Mandiri KCP Jakarta Cipete,5,ramah securitynya,2
Bank Mandiri KCP Jakarta Cipete,5,pelayananyavbagus,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pak edi atas bantuanya,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cipete,5,pelayan securitynya bagus,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan nya bagus . ramah2 banget..,2
Bank Mandiri KCP Jakarta Cipete,5,"ok, pelayanan cepat",2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih telah di bantu buka rekeing oleh bapak ahmad,2
Bank Mandiri KCP Jakarta Cipete,5,alhamdulillah dilayani dengan ramah dan membantu,2
Bank Mandiri KCP Jakarta Cipete,5,mantab,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pak edi untuk bantuannya,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,nyaman bersih,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,5,oke mantap,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,sangat membantu,2
Bank Mandiri KCP Jakarta Cipete,5,matap,2
Bank Mandiri KCP Jakarta Cipete,5,tks di bantu pembuatan kartu atm dan aktifasi livin mantap,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan cepat informasi jelas dan mudah dimengeeti. terus dijaga prestasi ini,2
Bank Mandiri KCP Jakarta Cipete,5,bagus,2
Bank Mandiri KCP Jakarta Cipete,5,"terimakasih untuk bantuannya sangat di permudah , di layani dengan begitu ramahnya , kepada kak farida apriliani dan pak fikri",2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih telah di bantu aktivasi livin oleh pak ahmad scuriti,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan baik, puas dan nyaman",2
Bank Mandiri KCP Jakarta Cipete,5,terima kasih banyak & sangat membantu,2
Bank Mandiri KCP Jakarta Cipete,5,sangat ramah dan membantu,2
Bank Mandiri KCP Jakarta Cipete,5,gila,2
Bank Mandiri KCP Jakarta Cipete,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Cipete,5,"respon teller (mas yasir) ok banget, duduk set enggak pakai lama.",2
Bank Mandiri KCP Jakarta Cipete,5,terima kasih telah di bantu pembuatan hidup mercant apa ahmad security,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan terbaik apa ahmad,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan sangat baik pegawai ramah sekali,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan cukup baik,2
Bank Mandiri KCP Jakarta Cipete,5,terimakaih telah di bantu pembuaan rekening dilen oleh ahmad.,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,5,pelanyan baik dan bagus,2
Bank Mandiri KCP Jakarta Cipete,5,ubur ubur ikan lele keren lee,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasi di bantu oleh pak akhmad untuk pengisiannya,2
Bank Mandiri KCP Jakarta Cipete,5,transaksi berhasil,2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih telah di bantu pak ahmad keamanan pembuaan rekening onlen,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan nya ramah, security nya sigap dan humble",2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Cipete,5,"terima kasih di bantu di pandu oleh pak ahmad security dalam penyetoran dalam mesin crm,orangnya rama sekali",2
Bank Mandiri KCP Jakarta Cipete,5,terima kasih pak ahmad security dan telkernya ramah ramah,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pak ahmad atas bantuannya mengaktifkan mandiri livin,2
Bank Mandiri KCP Jakarta Cipete,5,mantap,2
Bank Mandiri KCP Jakarta Cipete,5,layanan yang sangat baik mas yasir.,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan yang cepat tanggap dan sangadh memenuhi kebutuhan saya sebagai nasabah kalo enggak salah cs nya saya an mas yasir tadi oke banget..bravoo bank mandiri cipete!,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya oke banget..duduk set apalagi sama mas yang namanya yasir.,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih telah di bantu pengisian form keluhan nasabah oleh pak ahmad security,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih telah bantu pembuaan rekening online oleh pak ahmad syaifudin,2
Bank Mandiri KCP Jakarta Cipete,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipete,1,"cs enggak bisa mengatai solusi livin saya, payah malah nyuruh ke mandiri pusat, dan email, jelas pas saya email mandiricare nyuruh ke cabang, dan enggak ngejelasin apapun saya ke bank mandiri yang satu lagi dekat rs setia mitra cuma sama",0
Bank Mandiri KCP Jakarta Cipete,5,terima kasih telah membantu pelayan pip pelayanan baguus,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih telah di bantu pengambilan pip,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan top danramah,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Cipete,5,sangat baik membantu pencairan dana pip,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan sangat bagus,2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih telah di bantu ganti pin atm oleh pak ahmad,2
Bank Mandiri KCP Jakarta Cipete,5,terimakalih telah membantu pengambilan dana pip,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan baik, penanganannya sat set deh",2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Cipete,5,the best,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan pip sangar ramah dan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,pelayana ramah dan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan yang ramah dan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan nya ramah sekali,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan nya ramah dan baik, saat pengambilan dana pip dari pemerintah.",2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Cipete,5,tempat bersih petugasnya ramah,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanan ramah bagus,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Cipete,5,telah dibantu pengambilan dana pip,2
Bank Mandiri KCP Jakarta Cipete,5,terimakasih telah di bantu membuka rekening bapak security sangat ramah,2
Bank Mandiri KCP Jakarta Cipete,5,pengambilan dana pip,2
Bank Mandiri KCP Jakarta Cipete,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Cipete,5,pelayanannya sangat memuaskan dan sangat ramah karyawan karyawannya,2
Bank Mandiri KCP Jakarta Cipete,5,"pelayanan bagus, dan ramah.",2
