Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,1,lama banget. layanan lambat,0
Bank Mandiri KCP Jakarta Cipinang Jaya,1,menyebalkan sekali,0
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanya sangat ramah dan memuasakan nasaba,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"telernya baik ,ramah, sopan",2
Bank Mandiri KCP Jakarta Cipinang Jaya,3,lelet kali,1
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"bank mandiri kcp cipinang memberikan layanan yang cepat, ramah, dan profesional bagi setiap nasabahnya. dari saat pertama kali memasuki kantor cabang, pelanggan disambut dengan suasana yang nyaman dan staf yang sigap membantu berbagai",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,baik dan execelent,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan nya bagus orang nya ramah ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"mbak ramah, apalahi mbak cecilia sukses selalu ya",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,karyawannya ramah2 dan pelayanannya mantabb. keren bank mandiri,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanannya sangat bersahabat dan tanggap,termasuk kepala cabangnya",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"mbak maul enggak ribet, masak mau nuker duit enggak harus trm",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"teller cantik, baik, memenuhi kebutuhan customer.",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan yang ramah dan baik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan sangat baik dan pegawai nya ramah semua,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tempat nyaman , parkiran luas, dan pelayanan memuaskan",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,teller dan satpam ramah semoga terus meningkatkan pelayanan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,bagus pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan nya top,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,cepat dan terbaik layanan keamanan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya baik pol, nyediain uang 4m saja cincau, cantik, ramahh, baik hati dan tidak, buat obnya manis item item kereta api, biarpun item banyak yang mengantri",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayannya oke,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,baik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,good job,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,terimakasih pelayanan baik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,alhamdulillah terima kasih atas pelayanannya yang baik dan ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya cukup memuaskan buatku.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya cukup baik dan ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,mantab,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,para staf ramah2 dan pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanan bagus, pegawai juga ramah ramah, transaksi juga cepat tidak ribet",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,cabangnya nyaman dan pegawainya ramah-ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"sangat baik pelayananya,ramah",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"rama,sabar beast deh",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya bagus ramah dan baik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,ramah banget petugas2 bank nya.. baik dalam menjelaskan ke nasabahnya.. pokoknya top deh,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"teller pelayannya baik dan ramah, satpamnya baik dan membantu.",2
Bank Mandiri KCP Jakarta Cipinang Jaya,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanan nya cepat, cs dan teler nya ramah",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,teller mantab pelayanan cepat,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya ramah dan murah senyum, transaksinya selesai dengan cepat",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"ramah,tempatnya bersih dan di bantu untuk mengisi formulir",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tallernya baik sekali pelayanannya bagus,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,peleyanan teller ramah dan baik cab cipinang jaya.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya baik, segala kebutuhan terpenuhi. jaya terus!!",2
Bank Mandiri KCP Jakarta Cipinang Jaya,1,"pelayanan baik, cuman penggantian kartu expired masih manual harus ngisi di kertas, kemarin di bri tinggal mengasih kartu doank. selain itu ada biaya 20 ribu untuk kartu expired, sayangnya dari cs tidak konfirmasi dulu. bukan masalah nominalnya",0
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya baik.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya ramah, baik, lucu lagi",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya cantik banget,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya cantik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanan nya baikk, ramahh banget, ada tomo",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya cantik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"layanannya cepat, cabangnya enggak terlalu ramai",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,membantu dan ramah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"cipinang jayaya, dan teler nya cantik dan ramah, recehan banyakk banget",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat baik. tellernya membantu dengan sangat baik.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,petugas bank memiliki moral tertinggi dan senyum yang indah,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"ramah tallerr nya, proses cepat enggak lama",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya ramahh banget bintang 5 pokoknya gokss habis,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"parkirannya luas mantap,.satpamnya ramah ramah,para karyawannya juga murah senyum,tellernya dan cs nya cantik cantik,kantornya juga bersih,.pertahankan",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya ramah cantik dan tidak sombong, pokoke mantap mandiri. kalo ada rating sampai bintang seribu tak kasih seribu dah",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanan di bank mandiri cipinang jaya sangat oke, ramah, cepat tanggap dan solutif, banking hall nya juga bersih dan nyaman,sukses selalu buat tim mandiri cipinang jaya",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"tellernya baik,ramah,murah senyum",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,pelayanan maksimal,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,saya suka kemerdekaan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,tellernya cantik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,kompor yang digunakan,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,telernya ramah.,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,terbaik,2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"sangat membantu, dekat dengan kantor. teller dan cs sangat ramah. sukses selalu mandiri cabang cipinang jaya",2
Bank Mandiri KCP Jakarta Cipinang Jaya,5,"pelayanannya baik, mbak teller nya ramah",2
