Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanannya ramah dan sangat helpfull,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pegawainya full senyum dari hati,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,bagus sekali mantap,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,makin mantap,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,teller cs dan securitynya ramah dan cepat,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pelayanannya terbaik. teller, cs, dan securitynya ramah2. reccomend pokoknya",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pelayanan yang baik, ramah dan cepat",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanan baik dan cs yang melayani sangat sangat ramah thank lu bantuan nya,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanan ramah dan gesit,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pelayanan ramah, mbak teller juga ramah dan gesit, mantap pokoknya",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"bank mandiri topp, ada didalem mall",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pegawainya ramah, banknya didalem mall jadi enak buat belanja",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,terimakasih sudah membantu membuka rekening,2
Bank Mandiri KCP Jakarta Ciputra World Love,1,"tidak rekomen, kebanyakan konfirmasi. hargai waktu nasabah.",0
Bank Mandiri KCP Jakarta Ciputra World Love,5,oke baik bagus ramah,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"sangat membantu, ramah""",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"tempatnya nyaman, pelayanannya cepat dan ramah sekali",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,kakak nya ramah cantik,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"satset, teller nya asik asik",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,ramah banget karyawan staff nya. sampai security nya . jos,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pelayanannya ramah bgtt, sukses teruss!!",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"pelayanannya sangat membantu dan ramah ramah,terimakasih",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"sangat ramah cs nya, sangat membantu saya cs mbak dian .",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,"terima kasih pelayanan nya untuk mbak dian cs , sangat ramah",2
Bank Mandiri KCP Jakarta Ciputra World Love,5,pelayanannya baik dan cepat,2
