Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Citra Garden,5,"teller nya ramah ramah apalagi kak putri arnesya. ah beda banget sama kcp citra 2, tellernya tidak ekspresif dan lumayan jutek, padahal saya jauh dari citra 8 tapi lebih baik jauh asal nyaman dan ramah hm best mandiri citra garden",2
Bank Mandiri KCP Jakarta Citra Garden,5,"kunjungan rutin, bersih, tidak begitu ramai. pelayanan cepat.",2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,1,"waktu itu gua buat atm di kcp citra7 karena ilang, eh suruh bikin surat kehilang, gua sudah buat, terus katarnya kartunya abis, gua buat di palem, kata seturititity palegasin pasin puat kegilang.",0
Bank Mandiri KCP Jakarta Citra Garden,5,"aktivasi kartu debit yang gagal lewat livin, namun dibantu dengan mbak tia yang ramah, cekatan, dan proses cepat",2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,perjalanan sangat baik bisa membantu nasabah dengan baik,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,pelayanan nya sangat ramah,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,cs ramah pelayanan memuaskan thx mandiri,2
Bank Mandiri KCP Jakarta Citra Garden,5,"mbak citra kece, pelayanan cepat enggak sampai 10 menit sudah beres",2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Citra Garden,5,sangat puas dengan pelayanan yang diberikan.,2
