Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Condet,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Condet,1,"customer service nya kerjanya lama mentang2 dikit antriannya, satpamnya juga mengasih selak ke orang yang baru datang",0
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"bagus, ramah,",2
Bank Mandiri KCP Jakarta Condet,5,"sangat memuaskan pelayanan dari cs nya , sangat ramah",2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan ok, sebagai nasabah lama yang enga mau pindah dari cabang condet..",2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,cust service kak ila novianti nya baik dan ramah sekali,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,cs baik ramah,2
Bank Mandiri KCP Jakarta Condet,5,"penanganan cepat,dibantu sampai bisa",2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"rama, sopan, respon,",2
Bank Mandiri KCP Jakarta Condet,5,bagus,2
Bank Mandiri KCP Jakarta Condet,5,kakaknya sangat ramah,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,bagus pelayanan nya,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan nya ramah saya suka,2
Bank Mandiri KCP Jakarta Condet,5,"bagus,pelayanan baik",2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan bagus, cepat dan ramah..",2
Bank Mandiri KCP Jakarta Condet,5,semua staff sangat ramah,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan sat set sat set, ramah banget. terima kasih banyakk, urusan jadi cepat beres",2
Bank Mandiri KCP Jakarta Condet,5,good,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan baik dan sopan,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan ramah, dan cepat",2
Bank Mandiri KCP Jakarta Condet,5,teler nya ramah dan cantik,2
Bank Mandiri KCP Jakarta Condet,5,oke sekale.,2
Bank Mandiri KCP Jakarta Condet,5,baik bagus,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan sangat cepat dan baik,2
Bank Mandiri KCP Jakarta Condet,5,bagus & puas,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"terima kasih mandiri,",2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,oke mantapp,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan baik cepat dan sangat ramah,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan ramah, baik & sopan",2
Bank Mandiri KCP Jakarta Condet,5,pelayanan sangat membantu,2
Bank Mandiri KCP Jakarta Condet,5,mantap sangat membantu. petugasnya ramah ramah,2
Bank Mandiri KCP Jakarta Condet,5,pelayanannya ramah dan cepat. terimakasih :),2
Bank Mandiri KCP Jakarta Condet,5,"alhamdulillah pelayanan nya baik banget sampai dipandu, di anter ke depan tempat atm, terimakasih ya mbak lia,, semoga mandiri sukses dan berjaya selalu yaa, amin allahumma amin",2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan nya ramah,mantap",2
Bank Mandiri KCP Jakarta Condet,5,di jelaskan semua dengan jelas,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan sangat ramah dilayani dengan baik dan semua karyawan ceriaa,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanannya bagus, cepat, terima kasih atas bantuannya! ;)",2
Bank Mandiri KCP Jakarta Condet,5,"tempat bersih, pelayanan baik",2
Bank Mandiri KCP Jakarta Condet,5,baik,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan bagus walaupun agak mengantri,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,bagus ramah,2
Bank Mandiri KCP Jakarta Condet,5,bank mandiri mantap,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanan teller, cs dan security nya super ramah, proses cepat dan menyenangkan, sepertinya saya akan selalu bertransaksi dicabang ini kedepaannya",2
Bank Mandiri KCP Jakarta Condet,5,umum,2
Bank Mandiri KCP Jakarta Condet,5,layanan yang baik dari tim cs .,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,security jos sudah di bantu livin yang bermasalah sat set pokoknya,2
Bank Mandiri KCP Jakarta Condet,5,terima kasih,2
Bank Mandiri KCP Jakarta Condet,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Condet,5,pengalaman menyenangkan bersama bank mandiri cabang condet dan pelayanan yang cepat dan baik memuaskan setiap konsumen..,2
Bank Mandiri KCP Jakarta Condet,1,layanan pelanggan sampar sibuk nelpon saja,0
Bank Mandiri KCP Jakarta Condet,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"pelayanannya sangat baik dan petugasnya ramah, terima kasih atas bantuannya sudah bantu saya mengatasi kendala",2
Bank Mandiri KCP Jakarta Condet,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Condet,5,"tempat nya sangat bersih, wangi dan ac nya dingin, dari mulai pintu depan sudah di sambut keramah tamahan. sangat juara",2
