Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta D.I. Panjaitan,1,pelayanannya lama customer service hanya 1saja yang buka.. 3 meja lainya kosong.,0
Bank Mandiri KCP Jakarta D.I. Panjaitan,2,hari ini 5 juni.. pelayanan teller hampir menunggu 1 jam lebih tidak diproses transaksi teller inisial ndh.,0
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,baik dan menyenangkan dengan pelayanannya,2
Bank Mandiri KCP Jakarta D.I. Panjaitan,1,"mau memasuki tabungan ke rekening sendiri kok dibatasin. aneh. bank kan tempat nabung menyimpan uang, tapi ini malah ditolak.",0
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,tempat nya rapi,2
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,"tempat nya nyaman, bersih, wangi. karyawan2 nya ramah ramah dan gokil. keren habis cabang di panjaitan",2
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta D.I. Panjaitan,3,"kalau sudah siang, ngantrinya lama. mana cuma 1 tellernya",1
Bank Mandiri KCP Jakarta D.I. Panjaitan,5,tempat antrian nyaman pelayanan ramah,2
