Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta DPR RI,5,terima kasih cs mandiri bang kalo dan security bang gito pelayananya sangat memuaskan semoga makin maju.,2
Bank Mandiri KCP Jakarta DPR RI,1,"pegawai di training lg, pelayanan lelet",0
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,pelayanan yang ramah.. terima kasih staf mandiri soesialy mbak serly.,2
Bank Mandiri KCP Jakarta DPR RI,5,"pelayanan sangat memuaskan, teller sangat ramah dan helpful. terimakasih",2
Bank Mandiri KCP Jakarta DPR RI,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat ramah dan profesional,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,pelayananya cepat dan ramah,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,"pengalaman berkesan aku sih disini, dengan pelayanan yang menurut aku semua karyawannya ramah, dan cepat tanggap dengan yang aku butuhkan. sudah begitu karyawannya 3s senyum sapa salam, jadi berasa banget kalo melayani nasabahnya dengan sepenuh hati. tempatnya juga bersih dan nyaman. oke lah",2
Bank Mandiri KCP Jakarta DPR RI,5,pelayanan memuaskan.,2
Bank Mandiri KCP Jakarta DPR RI,5,kancab mandiri terbaik dari segi pelayanan kebersihan dll,2
Bank Mandiri KCP Jakarta DPR RI,5,mantap mantaps maans,2
Bank Mandiri KCP Jakarta DPR RI,5,pelayanannya sangat profesional dan ramah,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,"tempatnya nyaman,, staffnya ramah2.. lanjutkan..",2
Bank Mandiri KCP Jakarta DPR RI,5,baik exellenct .. putugasnya ramah-rama banget,2
Bank Mandiri KCP Jakarta DPR RI,5,"pelayanan baik,ramah dan cepat",2
Bank Mandiri KCP Jakarta DPR RI,5,nyaman tempatnya pelayanannya ramah dan baik baik helpfull banget lah pokoknya,2
Bank Mandiri KCP Jakarta DPR RI,5,good,2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,"pelayanan baik, cepat, pegawainya ramah, securitynya juga menyambut dengan baik",2
Bank Mandiri KCP Jakarta DPR RI,5,"teller ramah2, tempat nya nyaman. good service",2
Bank Mandiri KCP Jakarta DPR RI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta DPR RI,5,layanan yang baik,2
Bank Mandiri KCP Jakarta DPR RI,5,bagus,2
Bank Mandiri KCP Jakarta DPR RI,5,"pelayanan sangat ramah, dan sesuai standar operasional perbankan",2
Bank Mandiri KCP Jakarta DPR RI,5,cabang wangi dan bersih,2
