Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,terbaik,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,cepat dan ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"pelayanannya bagus banget, dan cepat.. terimakasih pak zul.",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"baik layanan! mbak laras cs yang baik dan ramah sekali, semua pertanyaa mengatakan terjawab semuacantik juga! .",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,mudah digunakan,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pak zul nya ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,satpam nya ramah cs nya oke.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,cs ramaah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,security nya baik-baik ramah ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"aku datang ke bank mandiri kc pluit kensana untuk mengubah kartu debit saya karena akan berakhir dari januari 2025. sambutan hangat dari semua staf terutama mr dzul. dia sangat baik dan cepat untuk membantu saya, tidak lebih dari 5 menit kartu saya sudah oleh dia.",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanan nya the bast,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,securty gedung baik-baik ramah2,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,peleyanan cepat dan ringkes,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pegawai nya ramah sekali dan fast respon. pelayanan nya bagus. pertahankan,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,cs nya baik dan cantik mbak laras sukses selalu,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,cabangnya dingin saya suka,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"pelayanan simpel ,cepet , terimakasih",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,security pelayanannya bagus cepat dan ramah2,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"pelayanan cepat dan tidak bertele-tele, bisa di andalkan di kala buru",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanan bagus security nya baik dan ramah,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanan ramah dan teliti terbaik terimakasih @larasati purwaningrum,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pas kesini dilayanin sama cs namanya mbak larasati purwaningrum baik banget satset pengurusan ini itu enggak pakai lama! pooknya panjang umur oikbali.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"pelayanan bagus, ramah keamanan pelayanan nya tasus",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"pelayanan sangat cepat dan tidak perlu antri lama, sukses selalu bank mandiri terutama mbak laras cs yang sangat melayani dengan baik",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"layanannya baik dan gesit, teller nya ramah dari mbak femi, terimakasih.",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,"sebagai nasabah saya sangat dilayani dengan baik, terutama cs nya namanya mbak laras, ramah dan melayani top",2
Bank Mandiri KCP Jakarta De Ploeit Centrale,1,"pelayanan yang tidak baik dan tidak sesuai prosedur, banyak menyepelekan hal kecil. harap untuk di perbaiki kembali management nya.",0
Bank Mandiri KCP Jakarta De Ploeit Centrale,5,layanan cepat bagus banget,2
