Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Dewi Sartika,3,"minta tolong mesin cetak kartunya diperbaiki saya sudah 2x balik ke cabang ini, di cabang jatinegara bisa membaca ktp saya tapi dicabang ini benar-benar enggak bisa sama sekali",1
Bank Mandiri KCP Jakarta Dewi Sartika,1,bisakah cetak kartu debit di mesin atm..apakah 24 jam.,0
Bank Mandiri KCP Jakarta Dewi Sartika,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"pelayanan di kcp dewi sartika, sat set banget deh. the best",2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,mandiri kcp jakarta dewi sartika,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,bank fave f (farve bank),2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"cabang nya bagus , pelayanan nya baik dan cepat luar biasa",2
Bank Mandiri KCP Jakarta Dewi Sartika,5,tempatnya nyaman dan pelayanannya ramah,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan cepat dan canggih,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanannya bagus super cepat,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,terimakasih mbak mustika sudah memberikan pelayanan yang prima,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"pelayanan sangat ramah, pak security nya the best sangat membantu. terima kasih",2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,top bintang 5,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,baik semua,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan sangat baik dan mudah dimengerti,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,tempat dan pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Dewi Sartika,4,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,kaget.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanannya cepat terbaik,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,keren deh pelayanan dari semua pegawai nya.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan nya sangat baik dan mudah,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,paling keren.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"pelayanannya bagusa dan ramah dari security,teller dan customer nya. tempatnya nyaman ..",2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"pelayanan baik,,ramah,,sopan.",2
Bank Mandiri KCP Jakarta Dewi Sartika,5,tempat nyaman bikin betah juga sudah smartbranch,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Dewi Sartika,5,"pelayanan nya baik, ramah, sangat membantu sekali",2
