Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,pelayanan nya ramah dan baik,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,"tadi habis kesini,sumpah pelayanan sekuriti nya ramah banget ,good job pak sekuriti",2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,oke,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,pelayanan oke dan memuaskan,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,"layanan bank nya bagus dan produk yang ditawarkan banyak, tidak hanya kredit kur",2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,"pelayanan yang terbaik, mengerti akan pentingnya menghargai waktu yang disediakan nasabah akan waktu yang siapkan untuk mengurus perbankan. terima kasih pak arif atas supportnya.",2
Bank Mandiri KCP Jakarta Duren Sawit,5,"teller & cs nya ramah, antriannya juga enggak lama & tmptnya nyaman. overall bagus layanan nya.",2
Bank Mandiri KCP Jakarta Duren Sawit,5,pelayanan nya cepat banget satset the best deh,2
Bank Mandiri KCP Jakarta Duren Sawit,5,"cs nya ramah, antriannya juga enggak lama, overall keren lah pelayanannya. thanx y.",2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,pelayanan ok. terimakasih bank mandiri duren sawit,2
Bank Mandiri KCP Jakarta Duren Sawit,5,pemuyan ya bagous,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,"keren, mantap, oke",2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,t.o.p semua pegawai nya ramah pisan,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
Bank Mandiri KCP Jakarta Duren Sawit,5,ok,2
