Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Duta Harapan Indah,2,tellernya kurang ramah,0
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,satpamnya ramah banget salut,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,cabangnya bersih pelayanannya ramah bagus pokoknya mantap,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,pak yahya layanan sangat baik! penjelasan jelas,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,pebukyan rama,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,ramah dan baik,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,cs baru fix respon banget .,2
Bank Mandiri KCP Jakarta Duta Harapan Indah,5,pelayanan ok,2
