Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,okee,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanannya ramah dan mantap! luar biasa sangat rekomen mengurus di sini,2
Bank Mandiri KCP Jakarta Duta Merlin,5,widi cs nya baik banget sangat membantu,2
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanan mantab,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,"pelayanan baik ,ramah, tempat nya nyaman dan bersih.",2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanan cs bya ramah ramah dan cepet. sat set banget. cocok buat kita yang berpacu dengan waktu.. thank you mandiri,2
Bank Mandiri KCP Jakarta Duta Merlin,5,keamanannya ramah ggs,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,"katanya layanan di cabang ini cepat, andal & nyaman. terbukti deh, layanan di cabang jakarta duta merlin memang sat set dan personilnya help full banget. urusan bank aku rekomendasikan ke cabang ini ya gaes.",2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,"pelisan baik, cepat & ramah",2
Bank Mandiri KCP Jakarta Duta Merlin,5,"pelayanannya bagus sekali. semua stafnya ramah, dari cs, teller, hingga security. responnya cepat dan tidak membingungkan",2
Bank Mandiri KCP Jakarta Duta Merlin,5,luar biasa pelayanan. semangat para karyawan,2
Bank Mandiri KCP Jakarta Duta Merlin,5,terbaik,2
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanan ramah cepat,2
Bank Mandiri KCP Jakarta Duta Merlin,5,"pelayanan bagus semua, terima kasih",2
Bank Mandiri KCP Jakarta Duta Merlin,5,"pelayanannya bagus, securitynya ramah, tempatnya bersih dan nyaman",2
Bank Mandiri KCP Jakarta Duta Merlin,5,telernya ramah dan cekatan. satpamnya sangat membantu sekali. secara keseluruhan pelayanannya oke banget.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,jawara,2
Bank Mandiri KCP Jakarta Duta Merlin,5,good service pertahankan.,2
Bank Mandiri KCP Jakarta Duta Merlin,5,pelayanannya oke banget..saya merasa terbantu,2
Bank Mandiri KCP Jakarta Duta Merlin,5,terimakasih cs duta merlin terutama bu putu deriyani yang memblanntu sala sagat detail cepatyna well .,2
Bank Mandiri KCP Jakarta Duta Merlin,5,cs nya keren keren banget,2
Bank Mandiri KCP Jakarta Duta Merlin,5,oke banget.,2
