Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Energi,5,bagus,2
Bank Mandiri KCP Jakarta Energi,5,"tellernya cantik"" ramah,pelayananya cepat. sangat membantu sekali",2
Bank Mandiri KCP Jakarta Energi,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Energi,5,"saya sangat senang denganmba rosy, terima kasih banyak!",2
Bank Mandiri KCP Jakarta Energi,5,"mbak nya ramah semua, saya dilayani oleh mbak jihaan nabiilah dan pelayanannya baik sekali dan ramah sekalii, juga cabang nya bersih^^",2
Bank Mandiri KCP Jakarta Energi,5,sangat baik,2
Bank Mandiri KCP Jakarta Energi,5,"senang sekali transaksi disini, dilayani sama mbak arum yang cantik dan ramah.",2
Bank Mandiri KCP Jakarta Energi,5,"pelayanan nya baik, teller ramah, cekatan, murah senyum,",2
Bank Mandiri KCP Jakarta Energi,5,cepat jarang antri,2
Bank Mandiri KCP Jakarta Energi,5,"pelayanannya cepat, cs dan tellernya ramah2, security juga standby untuk buka pintu",2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,"pelayanan ramah, cs dan teller cantik cantik",2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,silakan datang untuk mendapatkan pelayanan terbaik,2
Bank Mandiri KCP Jakarta Energi,5,nyaman.,2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,mantap layanannya,2
Bank Mandiri KCP Jakarta Energi,5,"ketika si datang ke sana, disana bisa nabung, tarik uang, buka axa mandiri, buka deposito, mengajukan ktrdit mikro, mengajukan kpr rumah, kendaraan, mengajukan kita n bisa ambil uang di atm, bisa duduk duduk juga di banking hall.. adem",2
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,teller nya cantik banget apalagi yang melayani saya kalau enggak salah namanya mbak arum cantik banget good job buat cabang ini,2
Bank Mandiri KCP Jakarta Energi,5,"pelayanannya baik, tellernya cantik, ramah",2
Bank Mandiri KCP Jakarta Energi,3,"dear teller atas nama jihaan nabiilah, mbak saya ke cabang mandiri mau setor tunai bukan mau dengar keluh kesah mbak nya",1
Bank Mandiri KCP Jakarta Energi,1,aduh enggak mengerti lah ini menjalani giro dari pagi sampai sore enggak cair cair alias gatot,0
Bank Mandiri KCP Jakarta Energi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Energi,5,"cabangnya nyaman,mbak cs cantik dan ramah serta pelayanan memuaskan",2
