Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gajah Mada,5,mantap,2
Bank Mandiri KCP Jakarta Gajah Mada,5,pelayanan mbak asiah dan satpam sangat baik dan membantu. terimakasih,2
Bank Mandiri KCP Jakarta Gajah Mada,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Gajah Mada,5,bank mandiri gajah mada pelayanan nya sangat bagus. semua staff nya ramah dan responsif.,2
Bank Mandiri KCP Jakarta Gajah Mada,5,"ob garcep , ramah"" orangnya pelayannya juga ok bgtv",2
Bank Mandiri KCP Jakarta Gajah Mada,5,"pelayanan ramah, sopan tempat bersihh",2
Bank Mandiri KCP Jakarta Gajah Mada,1,tidak ada bank mandiri gajah mada disini (sudah pindah),0
Bank Mandiri KCP Jakarta Gajah Mada,5,terimakasih untuk supportnya,2
Bank Mandiri KCP Jakarta Gajah Mada,5,ramah sangat,2
Bank Mandiri KCP Jakarta Gajah Mada,5,"pelayanan nya bagus, cepat, enggak mengantri lama, cs nya ramah. terima kasih",2
Bank Mandiri KCP Jakarta Gajah Mada,5,secara keseluruhan baik,2
Bank Mandiri KCP Jakarta Gajah Mada,5,pelayanan nya ramah ramah,2
Bank Mandiri KCP Jakarta Gajah Mada,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gajah Mada,5,"semua staff nya ramah, cekatan dan saya sangat puas dengan pelayanan disini",2
Bank Mandiri KCP Jakarta Gajah Mada,5,"suka banget sama pelayanannya, cepat dan ramah. cetak kartu enggak pakai ribet",2
Bank Mandiri KCP Jakarta Gajah Mada,5,sangat baguss,2
Bank Mandiri KCP Jakarta Gajah Mada,5,pelayanan sangat bagus,2
Bank Mandiri KCP Jakarta Gajah Mada,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Gajah Mada,5,"pelayanannya yang cepat dan maksimal,semoga tetap terus bertahan",2
Bank Mandiri KCP Jakarta Gajah Mada,5,bagus pelayanan nya ramahh,2
Bank Mandiri KCP Jakarta Gajah Mada,5,"pelayanan nya oke, dan siap banget",2
Bank Mandiri KCP Jakarta Gajah Mada,5,terima kasih cs mandiri mbak septy sudah bantu benerin,2
