Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gandaria City,5,cs ramah sekali dan pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Gandaria City,2,"saya datang tadi rabu pagi ,14-5-25, untuk ktm cs, hanya 1 cs yang sedang melayani cust berbhs inggris untuk isi (form?) selama sejam lebih padahal ada jeda waktu , bengong sih cs nya, enggak mau melayani saya yang gusar sejam lebih nunggu. keperluan saya sebener nya",0
Bank Mandiri KCP Jakarta Gandaria City,5,bagus pelayanannya,2
Bank Mandiri KCP Jakarta Gandaria City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria City,5,"security ramah, sangat membantu proses pengambilan kartu dari awal hingga. puas sekali, good job mandiri",2
Bank Mandiri KCP Jakarta Gandaria City,5,bagus banget,2
Bank Mandiri KCP Jakarta Gandaria City,5,teller dan cs nya ramah banget + securitynya welcome,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanan nya ramah enak penjelesan nya,2
Bank Mandiri KCP Jakarta Gandaria City,5,bp satpamnya sangat membantu terima kasih banyak,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanan bagus 10.03.2025,2
Bank Mandiri KCP Jakarta Gandaria City,5,"pelayanan yang sangat memuaskan dari mandiri gandaria city, staffnya helpful dan ramah ramah",2
Bank Mandiri KCP Jakarta Gandaria City,5,sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Gandaria City,5,satpam nya baik bisa membantu livin saya yang eror,2
Bank Mandiri KCP Jakarta Gandaria City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria City,5,cabangnya bagus staffnya ramah top mandiri gancy,2
Bank Mandiri KCP Jakarta Gandaria City,5,cabangnya bagus beda dari yang lain pelayanan cepat dan staffnya ramah buka rekening dibantu mbak osky cepat sekali,2
Bank Mandiri KCP Jakarta Gandaria City,5,"saya diterima dengan baik oleh mbak beruntung, semuanya berjalan cepat dan lancar",2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayananya mantap dan bagus ramah banget,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gandaria City,5,mandiri gancit oke.,2
Bank Mandiri KCP Jakarta Gandaria City,5,terima kasih pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Gandaria City,5,kcp gandaria city pelayanan bagus,2
Bank Mandiri KCP Jakarta Gandaria City,5,buka rekening serba cepat dibantu mbak osky cabangnya bagus bersih staffnya ramah security-nya bapak agus ramah terima kasih bank mandiri,2
Bank Mandiri KCP Jakarta Gandaria City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria City,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanannya memuaskan dan cepat lagi,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gandaria City,5,kubahnya manusia untuk transaksi,2
Bank Mandiri KCP Jakarta Gandaria City,5,pelayanan nya cepat sekali,2
Bank Mandiri KCP Jakarta Gandaria City,5,"pelanyanan cepat, ramah, dan tempat sangat nyaman",2
