Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gandaria,5,pelayanan sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Gandaria,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gandaria,5,mudah di jangkau,2
Bank Mandiri KCP Jakarta Gandaria,5,"google, nih tapi stay at this branch",2
Bank Mandiri KCP Jakarta Gandaria,5,"parkir oke, petugas sangat ramah. sudah kayak sodara",2
Bank Mandiri KCP Jakarta Gandaria,5,ramah-ramah pegawainya,2
Bank Mandiri KCP Jakarta Gandaria,5,teller cs dan securtiy ramah layanan nya.,2
