Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan sangat ramah dan baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,good,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"sangat memuaskan pelayanannya, proses cepat pembukaan new rekening dan tidak antri. dengan ibu utami ardila sari terimakasih banyak sudah dibantu prosesnya dengan mudah",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanannya luar biassa. mantap,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"sering kesini dan pelayanan nya selalu ramah, tempatnya bersih",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"nyamann, pelayanan okee",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,atm lengkap lokasi strategis,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanannya baik, dari mulai satpam sampai staffnya",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan sangat bagus dan dilayani dengan ramah,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,tempat yang aman ke bank mandiri,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"tempatnya adem, pelayanan cepat, cs dan teller sangat membantu",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,csnya baik hati apalagi csa nya wus,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,memusakan pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,staff ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,cepat pelayanannya,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan mantap cepat dan teliti,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sabtu ditetapkan jika,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,taruhan bagus,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,mantap pelayanan nya cepat sekali.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanannya bagus, semua staf nya ramah juga sat set",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,bagus pelayannya ramah ramah untuk p ngamananya ramah langsung mengarahkan..mantapp,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,bagus sekali,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,baguse,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanan nya super mantap. mulai dari security, cs, teller sampai branc managernya sangat amat membantu. setiap ada kesulitan langsung sigap dicarikan solusi.",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"nyaman banget di mandiri cabang jakarta gatot subroto ini, staffnya semua dari cs, teller, pak satpam dan branch operation managernya ramah membantu nasabah dan yang terpenting enggak judes meskipun kadang saya suka ngeribetin hehehe",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,cepat ramah,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan nya sangat puas,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,tempat yang bagus dan layanan yang baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,bagus pelayanannya. mantap,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,good,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat ramah dan baik hati,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanannya ramah dan petugasnya baik,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanan sangat baik,petugas menjelaskan produk perbankan dengan sangat mendetail, staffnya ramah serta tempatnya nyaman, terima kasih dan sukses selalu buat, mas ian",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanan di capeng bank mandiri jamstek keren, helpingl banget macasih mbak aundrey",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,pelayanannya luar biasa.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,banking hall nya nyaman dan letaknya dekat jalan utama.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,"pelayanannya bagus, semua staff ramah, proses cepat dan menyenangkan.",2
Bank Mandiri KCP Jakarta Gatot Subroto,5,cs nya satset dan ramah. pelayanan mantap solutif dan cabangnya adem banget.. sukses cabang gatot subroto :),2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gatot Subroto,5,sangat puas dengan pelayanan yang diberikan.,2
