Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"pelayanan sangat ramah, informatif, dan sangat membantu. sangat merekomendasikan yang mau ke cabang mandiri ke cabang antam",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"pelayanan terbaik, ramah, lengkap, detail, sehingga kita bisa mengetahui produk dengan baik",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"csnya ramah, baik, sopan",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanan cs dan teller gercep,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanannya sangat ramah & terpercaya,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanan baik.respon nya cepat.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"pelayanan bagus, sangat ramah, dan tempatnya nyaman",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"layanan memuaskan. security sigap, cs dan teller helpfull.",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayan cepat.. terbaik.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"cs nya baik, dibantu bikin rekening sampai selesai",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanan yang baik dan petugas yang ramah ramah dalam melayani.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanannya cepat dan pegawainya ramah-ramah semua,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,bersih dan tenang. terima kasih.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanannya cepat dan ramah. tempatnya pun nyaman,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,"pelayanan nya cepat dan ramah, mantap.",2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,cabang yang sangat recommend,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanan efisien,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,alhamdulillah terima kasih buat pelayanannya yang cukup baik khusus buat customer servicenya mbak anthea miranda yang sudah sangat membantu dalam registrasi pembuatan rekening saya,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,pelayanannya bagus.karyawan.security sopan. adem.parkir nyaman.,2
Bank Mandiri KCP Jakarta Gedung Aneka Tambang,5,boleh meminta nomor fix line terbaru kah??,2
