Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan sangat baik ramah, dan di bimbing sampai semua clear",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan yang baik dan ramah, tempatnya juga bersih, rapih, wangi dan juga nyaman",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat mengesankan sekali mandiri kcp bidakara,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"sangat menyenangkan mulai dari security yang ramah dan selalu membantu, pegawai yang lain juga ramah selalu membantu dengan baik, terimakasih mandiri bidakara sukses terus yaa.",2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,cs tidak helpful dan tidak ramah. laporan cuman bisa dieskalasi tanpa di cek apapun. tunggu lebih 2 hari kerja yang dijanjikan tidak dikontak sama sekali. pengalaman terburuk dengan cs bank.,0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,mantap pelayanannya,2
Bank Mandiri KCP Jakarta Gedung Bidakara,4,pelayanan baik.. teller ramah dan cepat transaksinya,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"frontlinernya ramah, sukses selu untuk team cabang bidakara",2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,"pelayanan nya lamaa, mau menarik uang dari jam 2 sampai jam 5, enggak ada persiapan nya sama sekali! buang waktu orang doang",0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,layanan bagus,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,layanannya mantap,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,ramah sekale,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,tempatnya cukup nyaman dan bersih good job,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan bagus, cepat dan memuaskan. cs juga sangat ramah",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,informatif,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan bagus banget, ramah, solutif",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,layanan nya cukup memuaskan ramah dan baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan bagus dan baik baik staf nya,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan ramah dan cabang sangat bersih. terbaikk cabang bidakara,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan bagus dan baik baik staf nya,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"bagus, pelayanan oke",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,"mau setor tunai saja ribet ya. harus di tuntut download livin mandiri dulu.. dan harus terdaftar di livin. padahal di slip nya ada keterangan ""non nasabah"".",0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,tempat yang bagus.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan ramah dan cepat,tempatnya bersih dan wangi ..",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,semoga semakin sukses dan bermanfaat untuk masyarakat dan negeri ini.aamiin,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,nyaman & baik pelayannya,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"cabangnya bersih, pelayanan memuaskan tellernya ramah2",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya ramah terimakasih,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"terima kasih sangat membantu, staff nya baik dan mengarahkan dengan baik serta jelas.",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya sangat baik dan ramah..,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan baik,ramah,cepat",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan sangat baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayananya sangak baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan cepat dan memuaskan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,tolong itu yang namanya bagas orang nya enggak sopan banget,0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"too markotop bertransaksi di cabang ini,pelayanan dari satpam hingga selesai sangat nyaman..",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,teller aqsal sangat baik sekali,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan menyenangkan.. sangat ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan cepat dan bagus,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan nya bagus banget deh customer service dan teller nya. terima kasih banyak cabang bidakara,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanannya sangat baik, ramah dan sigap",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,fl nya ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,best,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"kantor bersih, pelayanan sangat ramah untuk orang yang belum tau produk bank",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan cs sangat ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan bagus, terimakasih buat mas yogi yang membantu saya selama di cabang",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,nice,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya okey banget,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan ramah servicenya juga cepat mantap,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan yang bagus dan cepat mambntu nasabah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"keren, pegawainya ramahh semuaa dan cepat membantu nasabah",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan maksimal, the best",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya ramah dan cepat,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan ramah, bersih dan nyaman",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"kantor cabang bersih, suasananya nyaman, pelayanannya sangat memuaskan. mantul pertahankan",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"luar biasa pelayanan di cabang ini, keren",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,"pelayanan kurang baik, beda dengan mandiri lain",0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,"bad atitude dari cs tiba-tiba datang bentak2 nasabah mau cairkan deposito , walau memang ada 1 form yang kurang setidaknya biacaralah dengan baik dan sopan terhadap nasabah. kami langsung putuskan pindah cabang!!",0
Bank Mandiri KCP Jakarta Gedung Bidakara,1,keluarga saya merasa sangat dirugikan karena keluarga saya dibentak2 sama supervisor cs mandiri bidakara. tidak sepantasnya dia memperlakukan nasabah seperti itu! kami langsung pindah cabang karena diperlakukan secara tidak sopan.,0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,bank mandiri teristimewa,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,1,di telephone kok malah di putus/ di akhiri terus ! bagaimana ini pelayanan nya untuk customer yang sedang membutuhkan pertolongan yang sangat urgent,0
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanannya sangat baik dan sangat terbantu oleh teller syifa yang cekatan dan cantik,thank youu",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya sangat baik dan sangat membantu,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan yang ramah dan keren,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanannya bagus,pegawainya juga ramah,sukses terus bank mandiri",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,layanan sangat baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,rama layan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,rama layan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanannya bagus, ramah, top markotop",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan nya ramah. good job,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangatmembantu dalam pelayanan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,pelayanan oke dan ramah,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"bank mandiri terbaik di jakarta, semua pelayanan nya oke",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"kak cs namanya melania jesica laakay keren banget, amnjay .",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,"pelayanan ramah, detail, sangat membantu nasabah",2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Bidakara,5,layanan ramah dan nyaman,2
