Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,bank mandirinya tempatnya bersih dan petugas mandirinya baik dan ramah suka kalau seperti ini tempatnya,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"pelayanan nya baik, karyawan ramah tidak sombong dan suka menabung fa nya kayak artis india",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,tellernya ramah dan rapi,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"mantap, pelayanan baik, admin fast respon, ramah2 dan tidak sombong.sukses selalu..",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,pelayanan cepat sangat membantu untuk usaha kami,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,teller dan cs pelayananya ramah,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"pegawainya ramah2, pelayanan cepat",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,pelayanan yang bagus!,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"tempatnya nyaman. pegawainya ramah, apalagi customer servicenya, yang mbak ayu nurul farida, sangat helpful, senyum terus dan ramah bangeet. sukses terus",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"staff mulai dari security, teller, cs ramah ramah saya sangat terbantu terima kasih banyak bank mandiri gd. depparpostel",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,sumpah keren bgt. helpfull.,2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"pelayanannya sangat bagus, terutama cs ayu. terima kasih sudah di bantu",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,"pelayanannya sangat baik, dan orang2nya sangat ramah",2
Bank Mandiri KCP Jakarta Gedung Depparpostel,1,komplen edc transaksi sejak bulan april melalui mandiri prioritas klp gading dan hari ini ke deparpostel dengan ayu masih diminta tunggu 2 minggu.lalu cs fungsinya apa?,0
Bank Mandiri KCP Jakarta Gedung Depparpostel,5,cepat tanggap ramah the best pokoknya,2
