Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Elnusa,5,"customer service sangat rama, sangat dibantu, a good experience",2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,"pelayanan sangat baik, fl nya ramah, transaksi baik dan cepat",2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,good service dan pelayanan baik serta ramah,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,cepat,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,setor tunai disini enak sepi tidak perlu antri lama,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,good,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,"pelayanannya sangat bagus, semua ramah-ramah dan baik",2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,good,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,good,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,keren,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,good,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Gedung Elnusa,1,teler lama banget kerjanya,0
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Elnusa,5,sangat puas dengan pelayanan yang diberikan.,2
