Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Jaya,1,"siang bank mandiri, 2 minggu lalu atm saya tidak bisa digunakan, lalu saya ke cs atm jl. colombo jogja jam 23:00 di mesin cs tersebut saya tidak bisa membuka blokir kartu lalu saya pulang, keesokan harinya saya mendatangi bank cab jl. colombo",0
Bank Mandiri KCP Jakarta Gedung Jaya,1,"saya mau meminta tolong kepada pihak bank mandiri agar bisa membantu memblokir/menonaktifkan kartu kredit bapak saya, soalnya bapak saya kena penipuan dari pt. pintu kemana saja senilai 7 juta an.. saya alamat lombok, sedangkan saya konfirmasi ke bank mandiri sayang ada di lombok tidak ada solusi, tidak ada respon yang baik. tolong dibantu",0
Bank Mandiri KCP Jakarta Gedung Jaya,1,"nominal tertahan untuk angsuran kenapa tidak sesuai nominal angsuran, komplain pun tidak pernah ada respon sama sekali.",0
Bank Mandiri KCP Jakarta Gedung Jaya,1,satu2.y bank yang maintenance terus2an. kalau orang kepepet mau pakai uang di jam2 maintenance akan sangat merugikan. bank lain enggak ada tuh maintenance terus2.. ini setiap jam.. apalagi tengah-tengah malam.. buruk sekali. masa bank lain bisa aman tanpa maintenance terus-terusan sedangkan mandiri tidak bisa ? why.,0
Bank Mandiri KCP Jakarta Gedung Jaya,5,"ibu dania sangat membantu, terima kasih.",2
Bank Mandiri KCP Jakarta Gedung Jaya,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Gedung Jaya,1,offline terus! buat apaan coba. bank lain perasaan enggak keseringan offline,0
Bank Mandiri KCP Jakarta Gedung Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,strategis tempatnya,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Jaya,1,penipuan cashback katanya kalo aktifkan mandiri skyz bisa dapat 260rb tapi nyatanya penipuan enggak ada cair dengan alasan transaksi tidak sesuai dengan cashback. alasan tahi bank penipu kontol,0
Bank Mandiri KCP Jakarta Gedung Jaya,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,pelayanan nya cepat front linernya ramah ( customer servicenya cepat tanggap ),2
Bank Mandiri KCP Jakarta Gedung Jaya,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Gedung Jaya,2,"prosedur nya nya ribet, urus atm yang sudah expired harus butuh ktp fisik. sudah hubungi call center dan cabang terdekat. keduanya bilang butuh ktp fisik. bagaimana kalau ktp lagi habis hilang dan ini sumpah ribet, enggak kayak bank bca. enggak",0
Bank Mandiri KCP Jakarta Gedung Jaya,2,kok lama banget pelayanan update saja,0
Bank Mandiri KCP Jakarta Gedung Jaya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,"pernah datang ke gedung jaya, enak dingin ac nya, pelayanannya bagus, kantinnya makananya enak2",2
Bank Mandiri KCP Jakarta Gedung Jaya,5,gampang dicari,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,"pelayanan sangat ramah dan sangat terbantu khusus nya oleh ibu astrid, ibu dian dan teller.",2
Bank Mandiri KCP Jakarta Gedung Jaya,5,suka banget sama pelayanan di mandiri cabang gedung jaya..,2
Bank Mandiri KCP Jakarta Gedung Jaya,5,pelayanan ramah dan satset. keren,2
