Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"pelayanan nya bagus, cs nya ramah2",2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,layanan yang sangat baik dan karyawan yang baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"pelayanan nya bagus dan cepat , terimakasih """,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan ok banget,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan keren,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,bagus sekali terus naik..! . ..!.!.!..!..!.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,solusi sangat membantu dan cepat,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik. terimakasih,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,terima kasih mbak cs .,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,mantap pelayanan nya,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,service baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,baik dan sopan,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,layanan baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,service nya keren,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,teller ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,mantap,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan keren,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,layanan terbaik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,good job pelayanan terbaik dan cepat. thankyou,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs dan teller membantu,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,good pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"penyayannya baik, saya dibantu untuk transaksi ganti atm karena hlang dan prosanya tidak lala,puas deh posoknya",2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan sangat okee,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,teller ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs ramah dan cepat,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,tempatnya nyaman dan pelayanan cepat,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan bagus dan ramah ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs bu rina membantu sekali,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs sangat membantu,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs dan teller ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,2,"waktu bertanya kenapa kartu atm bermasalah malah menyalahkan mesin atm tempat lain, bukannya mengasih tau dulu apa masalahnya",0
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayan cs rama,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,csya ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan cepat dan berkualitas,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan sangat bagus dan cepat,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat bagus dan baik pelayanan nya saya sangat puas,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"alhamdulillah.. pelayanan yang cukup baik, dan ramah tamah",2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cepat dalam melayani,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,tempatnya nyaman,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cs sangat membantu,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,terima kasih pelayan cs nya,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,cabangnya bersih dan nyaman,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,tempatnya bersih dan enak,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan di bank mandiri lemigas sangat bagus dan orang2nya juga rama dan sopan2.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,teller dan cs ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan sangat baik dan memuaskan.. dari teller dan cs juga staff lainnya ramah dan baik. terima kasih bank mandiri lemigas,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,enaknya pelayanan,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"tempatnya nyaman,cs nya ramah",2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,terima kasih mbak cs catharina cepat dan ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,baik,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan cs sip,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,teller ramah,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan oke terima kasih,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,"walaupun menunggu lama tapi terbayarkan dengan pelayanan nya, banyak dapat saran/masukan/info yang menguntungkan saya sebagai nasabah, terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,teller membantu,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,pelayanan teller memuaskan,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Lemigas,5,sangat puas dengan pelayanan yang diberikan.,2
