Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanan cepat dan mudah. petugas ramah cabangnya adem,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"pelayanan baik, service memuaskan dan ramah",2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanan cepat dan tempatnya bersih,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"alhamdulillah pelayanan baik, ramah, dan sangat-sangat kooperatif, gedung nya pun nyaman..",2
Bank Mandiri KCP Jakarta Gedung PGN,5,kacap nya wangi bersih dan pelayanan nya ramah ok,2
Bank Mandiri KCP Jakarta Gedung PGN,5,ibu isnaini pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanan keseluruhannya baik jelas ramah kantornya bersih wangi mantap deh pokoknya,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanannya cepat dan pegawainya ramah,2
Bank Mandiri KCP Jakarta Gedung PGN,5,lyanan cepat ramah dan baik,2
Bank Mandiri KCP Jakarta Gedung PGN,5,suasana kantornya nyaman dingin dan tellernya ramah,2
Bank Mandiri KCP Jakarta Gedung PGN,5,cabangnya nyaman dingin dan wangi security ramah,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanannya cepat dan pegawainya ramah serta sopan,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan bank mandiri cabang gedung pgn! para staff sangat profesional dan ramah dalam melayani nasabah. waktu tunggu relatif singkat dengan sistem antrian yang teratur. area banking hall bersih dan nyaman.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"pelayanannya sangatt memuaskan,n sangat membantu nasabahh",2
Bank Mandiri KCP Jakarta Gedung PGN,5,"pelayanan nya ramah dan costumer service nya juga ramah ramah,terima kasih sudah membantu saya,is the best deh kalo di cabang bank mandiri pengin ini",2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Gedung PGN,5,mandiri cabang pengin cabangnya bersih wangi pelayanannya baik security nya ramah ganteng ganteng rekomendasi deh transaksi di mandiri gedung pengin ini,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanannya bagus banget..ramah dan sopan,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanan ramah dan sangat membantu..jaya terus mandiri pengin,2
Bank Mandiri KCP Jakarta Gedung PGN,5,pelayanannya cepat dan pegawai serta securitynya ramah,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"security ramah dan sopan, teller dan cs nya juga ramah dan cepat",2
Bank Mandiri KCP Jakarta Gedung PGN,5,"pelayanan baik, cepat, dan ramah",2
Bank Mandiri KCP Jakarta Gedung PGN,5,tetap jadi cabang terbaik dan berkualitas..dari segi pelayanan serta tersedia fasilitas yang memadai..mantap mandiri gedung pengin,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"cabang yang bagus terbentuk dari pegawai yang berkualitas..dari mulai tempat yang rapi pegawainya ramah dan sopan,jaya terus mandiri gedung pengin",2
Bank Mandiri KCP Jakarta Gedung PGN,5,"pelayanan ramah, bersih.",2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,rapi nyaman dan pegawai ramah,2
Bank Mandiri KCP Jakarta Gedung PGN,5,transaksi cepat,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"tempatnya nyaman, rapih, dan karyawannya ramah",2
Bank Mandiri KCP Jakarta Gedung PGN,5,"good leader & sangat ramah untuk ibu tiara sebagai kepala cabang, banyak membantu dan fast response. sukses selalu untuk bank mandiri kcp jakarta gedung pengin",2
Bank Mandiri KCP Jakarta Gedung PGN,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung PGN,5,"ramah, transaksi cepat",2
