Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,penjualan rama rama,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanan teller nya mantap,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanan teller nya the best,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"teller nya baik, ramah dan sabar",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"pelayan terbaik dan ramah orangnya,pertahankan..mantapp",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,mandiri smart branch,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"tempat nya bagus, ac nya mantap, security nya ok",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanan teller nya the best staff nya ramah dan baik,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"tellernya gercep, baik dan cantik",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanan cabang bank mandiri patra jasa cs nya baik-baik,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanannya ok,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,rama n sopan2 petugasnya,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,good,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"selama ini belum pernah ada komplain, pelayanan dari aplikasi juga sudah banyak membantu",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"bank favorit saya, akses mudah tanpa kendala dimanapun dan kapanpun",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,pebukyanan bagus. rama.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,mantab,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,mantap,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"mudah akaes nya,,karywannya ramah dan helpfull,,ruangan nyaman dan bersih",2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,luar biasa,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,responsif,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,ramah ramah orangnya sampai satpam nya juga sangat helpful,2
Bank Mandiri KCP Jakarta Gedung Patrajasa,1,sistem sudah canggih masih saja pakai bukti fisik. bintang 1 dulu dari saya. terima kasih,0
Bank Mandiri KCP Jakarta Gedung Patrajasa,5,"cs nya ramah, cantik n mau menjawab pertanyaan dengan jelas",2
