Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,pelayanannya ok. kakak nailil mala baik. mas aji juga baik scurity juga membantu banget,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"pertama kali ke sini, pelayanan oke",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"pelayanan cs ramah dan menginformasikanatif, teller cepat dalam melayani nasabah",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,tidak profesional dan tidakakada penghargan terhadap pegawai memasarikan tad/kontrak (sgk) eksploitasi pegawai tadsgk) evaluasiang angat tidak profesional!,0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"pelayanan cs nya sangat memuaskan, tanggap dan praktis",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,"masalaah penyelesia yang berlarut larut, saya dijanjikan penyelesaian masalaah 16hari kerja, tati sampai degan 18 hari hari kerja masalaah belum juga selesai .",0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"tempatnya adem, pelayanan cepat, csnya baik dan ramah",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,apa itu mandiri! bikin atm dari kantor pas gajian keblokir bilang enggak ada saldo. dijelasin juga enggak dengan gampangnya nyebut besok baru ke buka jika ada saldo,0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,"mengurusi duit pelunasan pinjaman di kantor bank mandiri dengan karyawan bank mandiri nya tapi uangnya di bawa kabur sama karyawannya enggak di setorin ke bank, sudah mengurus sana sini tetap belum ada hasilnya sampai sudah setahun ya allah bagaimana nasib",0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,"diperbaikin sistem nya, pemindahan dana livin merchant sampai berbulan bulan apa kalian enggak proses, kok bisa sampai berbulan bulan.",0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"mantap, bertanggung jawab, alhamdulillah",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"cabang nya bersih dan pelayanan nya ramah""",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,pelayanan kopra di mandiri kehutanan sangat cepat diajari sampai bisa transaksi. thanks mandiri kehutanan,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"terima kasih, pelayanan sangat baik.",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,"telp 140 mau tanya urusan layanan perusahaan sampai sejam juga enggak diangkat, buang2 duit telp & nunggu. mending baca kasih layanan telp non pulsa, cepat banget juga angkatnya! sudah coba telp cabang2 di kota terdekat juga tidak ada yang aktif telp nya. dikira telp main-main kali ya. kapok taruh duit di mandiri",0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,"mengurusi duit yang ilang, sudah follow up sana sini tapi dijawab masih dalam penelusuran. enggak ada update sama sekali. birokrasinya muter2 dan enggak membantu. kalo enggak karena kerjaan, enggak akan mau buka rekening mandiri sih",0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,1,parah banget minggu ini. pemblokiran masal akun livin. saat urus2 dilempar sana sini. cs 140 juga kacau pelayanannya. tidak melayani dengan sabar dan sopan. pulsa jebol buat nelpon sana sini karena tidak ada kejelasan solusi.,0
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sejauh ini pelayanan yang saya terima sudah baik.. tingkatkan terus pelayanan nya ya,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,pelayanan cepat security nya ramah,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,"pelayanan ganti kartu debit di hari jumat tanggal 16 agustus dengan mbak retnasari sangat helpfull dan satset banget, sangat memuaskan",2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusat Kehutanan,5,sangat puas dengan pelayanan yang diberikan.,2
