Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,cukup memuaskan pelayanan dan ramah2 petugas,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"proses cepat,keren sangat membantu",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"pelayanan ramah dan mulah, tilk terlalu ramai sehingga cepat.",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"pelayanan security ramah sekali, tempat bersih dan nyaman",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,kualitas bagus karena kau bisa datang ke sini jam 12.00-13.00,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayan yang ramah penangan yang cepat tanpa menunggu lama,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,baik,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"pelayanan bagus,terima kasih atas bantuan yang berguna",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,cepet pelayanan,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"pelayanan cepat, security dan cs ramah2.",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"saya bangga jadi nasabah mandiri,pelayanyan celpat akurat pelayanya kalau ada keluhan",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanan baik sejak 2014 saya daftar :),2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"pelayanan semua staf nya ramah banget, cepat, selalu maksimal, gedung nya bersih dan dingin..",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,supetb service,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,cara penjelasan asuransi bagus sekali( shintya )&juga cs nya sangat ramah(mba ela),2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"datang jam 11 kurangan, lumayan sepi, satpamnya super helpful dan csnya juga baik, mungkin karena ada di dalem pusri jadi enggak mengantri lama, cuma 1-2 orang",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanannya ramah dan cepat. terima kasih mandiri cabang gedung pusri,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanan sopan bagus dan memuaskan,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,wah pelayanannya juara si. mantap banget,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,"suka banget ke cabang pusri. pelayananya good, ramah dan cantik ganteng hehehw",2
Bank Mandiri KCP Jakarta Gedung Pusri,5,petugasnya menyenangkan,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,ramah ramah semua,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Gedung Pusri,5,all pegawainya sangat sangat cepat dalam melayani nasabah melakukan transaksi,2
