Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Gedung Talavera,5,"pelayanannya sangat baik, cs dan teller nya juga ramah 2 sekali. saya puas dengan mandiri cabang disini",2
Bank Mandiri KCP Jakarta Gedung Talavera,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,ramah ramah teller dan csnya,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pengalaman yang bagus.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,tingkatkan keramatamahan dan pelayan,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,"teller mbak diah terima kasih yaa.&lt;/font&gt; &lt;font color=""#f00""&gt;semagat terus kerjaya!&lt;/font&gt; &lt;font color=""#f00""&gt;apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#f00""&gt;apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#f00""&gt;apa yang kau lakukan?&lt;/font&gt; &lt;font color=""#f00""&gt;apa?",2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan nya ok. teller dan cs nya membantu banget..,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,"staffnya ramah2 dan sangat membantu, tempatnya juga bersih wangi dan dingin. pelayanannya oke satset watwet banget deh pokoknya, good job mandiri!",2
Bank Mandiri KCP Jakarta Gedung Talavera,5,"pelayanan nya cepat, cs nya ramah",2
Bank Mandiri KCP Jakarta Gedung Talavera,5,devi..pleasant n sangat baik,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,ok banget pelayanannya,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,layanan pelanggan sempurna .,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,"sat set, pelayanan ramah, terimakasih mas tegar sudah dibantu pembukaan rekening kami..",2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanannya bagus dan ramah..,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,seluruh pegawainya ramah sekali,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,bank mandiri talavera pelanyannya bagus dan cepat,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan nya super baik dan cepat,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,2,"datang kesini mau ke teller untuk setor tunai, ditanya sama securitynya mau setor berapa? ya memang hanya 10jt. tapi security enggak berhak nyuruh setor melalui mesin atm. karena niat saya mau setor melalui teller bank supaya cepat. mentang2",0
Bank Mandiri KCP Jakarta Gedung Talavera,1,"lama banget, menunggu setengah jam enggak di panggil. ada beberapa cs yang mengobrol tapi enggak ngelayanin customer. jauh banget sama pelayanan bca",0
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,nice,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,oke,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,pelayanan bagus. ramah dan tidak sombong,2
Bank Mandiri KCP Jakarta Gedung Talavera,5,telernya baik-baik banget.sigap dan ramah dan catik.,2
