Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Glodok Pancoran,5,terimakasih bntuannya,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan ramah dan baik,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,layanan ibu ratri glodok selama saya dengan dia sangat dibantu. kalo bisa mandiri bisa lebih baik.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"cs dan teller ramah2,kantornya juga bersih",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan cabang bagus. satpam n cs nya ramah,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanan csnya bagus, sigap, dan ramah. terima kasih bank mandiri glodok pancoran",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,bagus 100/100,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanan frontliner nya bagus dan ramah, serta tempatnya bersih dan nyaman.",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"ruangan dingin dan sejuk, pegawai ramah dan cekatan. terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanannya mudah orgnya ramah bersih lagi,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanan bagus, cabangnya bersih dan fasilitasnya lengkap ada atm setor tunai dan tarik tunai",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanannya bgus, pegawai terutama cs nya sangat membantu. fasilitas lengkap ada mesin setoran tunai dan tarik tunai . mantap pokoknya",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanan bagus, cs responsif.",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"good .. pelayanannya cepat, tidak menunggu lama ..",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"tempat nya sejuk, dan pelayanan nya prima,",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayanan cepat dan tanggap,sangat informatif dan helpful",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,adem,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"pelayananya bagus orangnya ramah"" dan cabangnya bersih",2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan bagus tempat nya sejuk dan adem.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan prima adem dan sejuk ac nya dingin# trimaksih bank mandiri,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,pelayanan prima mudah transaksinya via livin ada mesin setoran tunai nya asikk pokoknya.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,ganti kartu cepat di bantu security cs dan teller yang humble,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,gampang mudah trnsaki di livin bye mandiri,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,cs nya sangat bagus dan ramah,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,sekuriti nya ganteng,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,cabang enak bersih dan wangi,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,luar biasa saja pelayananny mandiri glodok pancoran fl ramah2 lagi,2
Bank Mandiri KCP Jakarta Glodok Pancoran,5,"frontlinernya ramah & baik baik, solutif jugaa. tempatnya rapih, bersih, dan nyaman!",2
