Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Glodok Plaza,5,mantap jiwa,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan baik dan bagus, kondisi cabang bersih",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"cabang bersih, pelayan bagus,",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan baik, pelayanan ramah ,bersih",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,teler ramah..cepet..,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,over all is good lah,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,tepatnya bersih dan adem. pelayanannya baik untuk staff dan pegawai. tellernya ramah dan baik. terima kasih mandiri glodok,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan bagus, cepat dan ramah",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayan mandiri ramah dan tempat bersih,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan baik, cabangnya bersih, tellernya ramah dan baik baik. sukses selalu untuk mandiri glodok plaza",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"saya di layani mbak umi, pelayanan ramah cepat dan ramah senyum,dan saya mendapatkan solusi ,cabang nya rapi dan bersih",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,tempat nya bersih dan nyaman teller dan customer servicenya sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan bagus karyawan ramah,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,semua pelayanan ok.. cepat pegawainya ramah dan ful senyum,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanannya sangat ramah dan cepat. tempatnya bersih wangi dan rapi. luar biasa untuk seluruh staff mandiri glodok plaza.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,sangat baik,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,baik sekali pelayanannya,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan ramah cepat,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanannya baik dan cepat pegawai nya ramah ramah cabangnya bersih dan wangi bikin nyaman,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan sangat oke .cabang bersih dan wangi.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan cepat dan ramah. sangat puas di cabang glodok plaza,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanannya bagus,tempatnya adem dan bersih,pegawai dan staffnya ramah ramah. semoga sukses selalu bank mandiri glodok plaza",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan cepat, nyaman dan baik. ruangan adem sekali.",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"pelayanan ramah, cepat dan bersih",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanannya baik. semua pegawainya ramah. semoga tambah sukses,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"service nya cepat, ramah, dan aman.",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,teller baik baik,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,bank cabang mandiri terbaik sih.,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,staff dan pegawainya ramah dan baik,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"semua karyawannya ramah"" semua dan pelayanannya sangat cepat dan memuaskan, sangat puas keren, semoga tambah sukses",2
Bank Mandiri KCP Jakarta Glodok Plaza,5,ramah2 semua pegawainya kerenn,2
Bank Mandiri KCP Jakarta Glodok Plaza,5,"security nya sangat ramah, dan pelayanan cs dan teller nya sangat kompeten",2
