Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Graha 55,3,"petugas terbatas, waktu tunggu lama, pelayanan lama",1
Bank Mandiri KCP Jakarta Graha 55,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha 55,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha 55,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha 55,3,lingkungan nyaman tapi pelayanan lama. hening,1
Bank Mandiri KCP Jakarta Graha 55,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha 55,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Graha 55,5,pelayanan bagus dan petugas nya ramah lingkungan,2
Bank Mandiri KCP Jakarta Graha 55,5,tempat bagus best pokoknya,2
Bank Mandiri KCP Jakarta Graha 55,5,"tempatnya nyaman, pelayanan cepat, petugasnya ramah.",2
